"Rank","Player","Team","Position","BYE","RV","FF Pts","ADP ( Average )","ADP Dif ( Average )","ADP (Underdog)","ADP Dif (Underdog)","ADP (CBS)","ADP Dif (CBS)","ADP (ESPN)","ADP Dif (ESPN)","ADP (FFPC)","ADP Dif (FFPC)","ADP (BB10s)","ADP Dif (BB10s)","ADP (NFL)","ADP Dif (NFL)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","GC","GC Dif"
"1","Bijan Robinson","ATL","RB-01","5","155","14.9","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","5","4","1","0"
"2","Saquon Barkley","PHI","RB-02","9","160","15.1","4","2","5","3","3","1","3","1","4","2","4","2","4","2","3","1","9","7","3","1"
"3","Jahmyr Gibbs","DET","RB-03","8","152","14.7","3","0","4","1","4","1","5","2","3","0","3","0","6","3","4","1","8","5","2","-1"
"4","Ja'Marr Chase","CIN","WR-01","10","127","15.6","1","-3","1","-3","1","-3","1","-3","1","-3","1","-3","1","-3","1","-3","3","-1","1","0"
"5","Christian McCaffrey","SF","RB-04","14","144","14.2","7","2","7","2","8","3","7","2","8","3","9","4","11","6","8","3","14","9","4","0"
"6","Derrick Henry","BAL","RB-05","7","155","14.9","11","5","14","8","7","1","12","6","14","8","11","5","10","4","11","5","19","13","5","0"
"7","Ashton Jeanty","LV","RB-06","8","145","14.3","10","3","13","6","9","2","11","4","9","2","10","3","12","5","14","7","15","8","6","0"
"8","Justin Jefferson","MIN","WR-02","6","102","14.1","6","-2","6","-2","6","-2","4","-4","6","-2","6","-2","5","-3","5","-3","10","2","3","1"
"9","CeeDee Lamb","DAL","WR-03","10","101","14.1","5","-4","3","-6","5","-4","6","-3","5","-4","5","-4","3","-6","6","-3","11","2","2","-1"
"10","Malik Nabers","NYG","WR-04","14","98","13.9","9","-1","9","-1","11","1","10","0","10","0","8","-2","9","-1","10","0","13","3","4","0"
"11","Josh Jacobs","GB","RB-07","5","123","13.0","18","7","23","12","10","-1","18","7","21","10","26","15","19","8","15","4","32","21","9","2"
"12","De'Von Achane","MIA","RB-08","12","120","12.8","15","3","16","4","17","5","14","2","16","4","15","3","14","2","17","5","23","11","7","-1"
"13","Bucky Irving","TB","RB-09","9","138","13.8","22","9","20","7","22","9","22","9","20","7","24","11","24","11","19","6","25","12","10","1"
"14","Amon-Ra St. Brown","DET","WR-05","8","84","13.1","8","-6","11","-3","12","-2","9","-5","11","-3","7","-7","8","-6","9","-5","16","2","6","1"
"15","Nico Collins","HOU","WR-06","6","95","13.7","13","-2","8","-7","13","-2","13","-2","13","-2","13","-2","16","1","7","-8","21","6","5","-1"
"16","Jonathan Taylor","IND","RB-10","11","121","12.9","20","4","22","6","20","4","15","-1","22","6","18","2","22","6","18","2","28","12","8","-2"
"17","Chase Brown","CIN","RB-11","10","121","12.9","21","4","19","2","21","4","24","7","18","1","25","8","28","11","20","3","29","12","11","0"
"18","Puka Nacua","LAR","WR-07","8","77","12.7","12","-6","10","-8","14","-4","8","-10","15","-3","12","-6","7","-11","16","-2","20","2","7","0"
"19","Kyren Williams","LAR","RB-12","8","117","12.6","27","8","32","13","18","-1","30","11","26","7","27","8","25","6","27","8","34","15","12","0"
"20","Brock Bowers","LV","TE-01","8","73","10.8","17","-3","18","-2","23","3","20","0","7","-13","16","-4","17","-3","23","3","12","-8","1","0"
"21","Brian Thomas Jr.","JAX","WR-08","8","69","12.2","14","-7","12","-9","19","-2","16","-5","17","-4","14","-7","13","-8","12","-9","22","1","8","0"
"22","Drake London","ATL","WR-09","5","69","12.2","16","-6","15","-7","24","2","21","-1","19","-3","17","-5","20","-2","13","-9","24","2","9","0"
"23","Josh Allen","BUF","QB-01","7","76","20.3","24","1","28","5","15","-8","19","-4","28","5","22","-1","21","-2","28","5","1","-22","1","0"
"24","Lamar Jackson","BAL","QB-02","7","76","20.3","25","1","29","5","16","-8","23","-1","29","5","21","-3","18","-6","26","2","2","-22","2","0"
"25","Omarion Hampton","LAC","RB-13","12","95","11.3","33","8","27","2","37","12","39","14","27","2","40","15","48","23","32","7","36","11","14","1"
