"Rank","Player","Team","BYE","Position-Rank","FF Pts","VOR","ADP ( Average )","ADP Dif ( Average )","ADP (BB10s)","ADP Dif (BB10s)","ADP (CBS)","ADP Dif (CBS)","ADP (Drafters)","ADP Dif (Drafters)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (NFFC)","ADP Dif (NFFC)","ADP (NFL)","ADP Dif (NFL)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Underdog)","ADP Dif (Underdog)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"1","Jahmyr Gibbs","DET","6","RB-01","312.6","172","1","0","0","-1","0","-1","1","0","1","0","1","0","1","0","1","0","0","-1","0","-1","1","0","3","2","1","0","1","0","0","-1","2","1"
"2","Bijan Robinson","ATL","11","RB-02","304.8","165","2","0","0","-2","0","-2","2","0","2","0","2","0","2","0","2","0","0","-2","0","-2","2","0","1","-1","3","1","3","1","0","-2","1","-1"
"3","Ja'Marr Chase","CIN","6","WR-01","322.1","161","3","0","0","-3","0","-3","3","0","4","1","3","0","3","0","3","0","0","-3","0","-3","3","0","2","-1","4","1","4","1","0","-3","3","0"
"4","Puka Nacua","LAR","11","WR-02","318.9","158","4","0","0","-4","0","-4","4","0","3","-1","4","0","4","0","4","0","0","-4","0","-4","4","0","4","0","5","1","5","1","0","-4","4","0"
"5","Christian McCaffrey","SF","8","RB-03","297.2","157","6","1","0","-5","0","-5","6","1","5","0","5","0","6","1","7","2","0","-5","0","-5","6","1","6","1","8","3","8","3","0","-5","7","2"
"6","Jaxon Smith-Njigba","SEA","11","WR-03","306.1","145","5","-1","0","-6","0","-6","5","-1","6","0","6","0","5","-1","5","-1","0","-6","0","-6","5","-1","5","-1","9","3","9","3","0","-6","5","-1"
"7","Jonathan Taylor","IND","13","RB-04","289.2","149","8","1","0","-7","0","-7","10","3","8","1","7","0","9","2","8","1","0","-7","0","-7","8","1","8","1","12","5","12","5","0","-7","9","2"
"8","Amon-Ra St. Brown","DET","6","WR-04","287.2","126","7","-1","0","-8","0","-8","7","-1","7","-1","8","0","7","-1","6","-2","0","-8","0","-8","7","-1","9","1","13","5","13","5","0","-8","6","-2"
"9","De'Von Achane","MIA","6","RB-05","291.4","151","13","4","0","-9","0","-9","18","9","10","1","13","4","17","8","15","6","0","-9","0","-9","17","8","13","4","24","15","24","15","0","-9","14","5"
"10","Ashton Jeanty","LV","13","RB-06","241.2","101","10","0","0","-10","0","-10","8","-2","13","3","9","-1","10","0","9","-1","0","-10","0","-10","11","1","12","2","15","5","15","5","0","-10","12","2"
"11","Omarion Hampton","LAC","7","RB-07","231.1","91","14","3","0","-11","0","-11","14","3","18","7","15","4","14","3","13","2","0","-11","0","-11","14","3","19","8","22","11","22","11","0","-11","20","9"
"12","James Cook","BUF","7","RB-08","224.0","84","12","0","0","-12","0","-12","12","0","12","0","10","-2","11","-1","12","0","0","-12","0","-12","12","0","10","-2","17","5","17","5","0","-12","11","-1"
"13","Drake London","ATL","11","WR-05","263.3","102","18","5","0","-13","0","-13","20","7","17","4","19","6","21","8","16","3","0","-13","0","-13","20","7","14","1","29","16","29","16","0","-13","13","0"
"14","Chase Brown","CIN","6","RB-09","238.1","98","16","2","0","-14","0","-14","17","3","26","12","14","0","16","2","14","0","0","-14","0","-14","16","2","15","1","26","12","26","12","0","-14","18","4"
