method,family,multiplier,direction
recommended,reference,1.0,reference
projection_rank__w075,projection_rank,0.75,lower
projection_rank__w125,projection_rank,1.25,higher
absolute_ppg__w075,absolute_ppg,0.75,lower
absolute_ppg__w125,absolute_ppg,1.25,higher
experience__w075,experience,0.75,lower
experience__w125,experience,1.25,higher
adp_rank__w075,adp_rank,0.75,lower
adp_rank__w125,adp_rank,1.25,higher
market_gap__w075,market_gap,0.75,lower
market_gap__w125,market_gap,1.25,higher
disagreement__w075,disagreement,0.75,lower
disagreement__w125,disagreement,1.25,higher
component_ranks__w075,component_ranks,0.75,lower
component_ranks__w125,component_ranks,1.25,higher
scoring_mix__w075,scoring_mix,0.75,lower
scoring_mix__w125,scoring_mix,1.25,higher
room_share__w075,room_share,0.75,lower
room_share__w125,room_share,1.25,higher
room_hierarchy__w075,room_hierarchy,0.75,lower
room_hierarchy__w125,room_hierarchy,1.25,higher
concentration__w075,concentration,0.75,lower
concentration__w125,concentration,1.25,higher
team_pass_environment__w075,team_pass_environment,0.75,lower
team_pass_environment__w125,team_pass_environment,1.25,higher
all_weights__w001,all_weights,0.01,lower
all_weights__w005,all_weights,0.05,lower
all_weights__w012,all_weights,0.125,lower
all_weights__w025,all_weights,0.25,lower
all_weights__w038,all_weights,0.375,lower
all_weights__w050,all_weights,0.5,lower
all_weights__w062,all_weights,0.625,lower
all_weights__w075,all_weights,0.75,lower
all_weights__w088,all_weights,0.875,lower
all_weights__w125,all_weights,1.25,higher
all_weights__w150,all_weights,1.5,higher
