"Rank","Player","Position","Notes","Position Rank","Team","FantasyPros ADP"
"1","Christian McCaffrey","RB","32 all-purpose TDs through 27 games as 49er. Calf strain in camp.","RB01","SF","1.0"
"2","CeeDee Lamb","WR","League-high 135 catches in 2023. Cowboys extreme pass first.","WR01","DAL","3.3"
"3","Tyreek Hill","WR","1,700+ yards in consecutive seasons under HC Mike McDaniel.","WR02","MIA","2.0"
"4","Bijan Robinson","RB","New HC Raheem Morris hellbent on Bijan as offensive focus.","RB02","ATL","5.3"
"5","Breece Hall","RB","Aaron Rodgers back. Further away from 2022 ACL/meniscus tear.","RB03","NYJ","5.0"
"6","Amon-Ra St. Brown","WR","Averaging 7.3 catches over last 38 regular season games.","WR03","DET","7.3"
"7","Justin Jefferson","WR","NFL’s best route runner dealt Sam Darnold under center.","WR04","MIN","5.7"
"8","Ja'Marr Chase","WR","Still only 24 years old. Bengals shorthanded at third WR &amp; TE.","WR05","CIN","6.3"
"9","A.J. Brown","WR","Per-game average of 6/87/0.5 through two seasons as Eagle.","WR06","PHI","10.0"
"10","Jahmyr Gibbs","RB","Including playoffs, scored 14 TDs over his last 14 appearances.","RB04","DET","12.3"
"11","De'Von Achane","RB","4.32 gamebreaker reminds of Chris Johnson in track-meet O.","RB05","MIA","22.0"
"12","Puka Nacua","WR","Historic rookie production. Fell slightly after knee injury in camp.","WR07","LAR","14.7"
"13","Chris Olave","WR","Budding star with near-nonexistent in-house target competition.","WR08","NO","25.0"
"14","Garrett Wilson","WR","95 grabs in ’23 with Zach Wilson, Trevor Siemian, Tim Boyle.","WR09","NYJ","12.0"
"15","Nico Collins","WR","Still just 25. Elite athlete catching balls from MVP-candidate QB.","WR10","HOU","31.0"
"16","Malik Nabers","WR","Giants offense will funnel through this year’s No. 6 overall pick.","WR11","NYG","48.3"
"17","Marvin Harrison Jr.","WR","With Kyler, think of 2020 DeAndre Hopkins (115/1,407/6).","WR12","ARI","16.0"
"18","DJ Moore","WR","Career year in ’23 (96/1,364/8). QB upgrade, Bears will throw more.","WR13","CHI","38.7"
"19","Drake London","WR","Yards-per-route-run stud to be featured in modernized offense.","WR14","ATL","22.7"
"20","Jaylen Waddle","WR","High-floor WR2 with league-winning upside should Tyreek go down.","WR15","MIA","38.7"
"21","Cooper Kupp","WR","Now 31. Got a small bump when Puka Nacua went down in camp.","WR16","LAR","34.7"
"22","Kyren Williams","RB","Blake Corum presents concern, but Kyren has Sean McVay’s trust.","RB06","LAR","16.3"
"23","Davante Adams","WR","Severe QB disadvantage on decidedly run-first Raiders team.","WR17","LV","19.3"
"24","Josh Jacobs","RB","Proven workhorse in ascending Packers offense. Still only 26.","RB07","GB","25.3"
"25","DeVonta Smith","WR","Separation specialist averaging 88/1,131/7 last 2 seasons.","WR18","PHI","47.0"
"26","Jonathan Taylor","RB","Low receiving projection but legit shot to lead NFL in rushing.","RB08","IND","10.0"
"27","Saquon Barkley","RB","Concerns are Eagles Tush Push + low running back target rate.","RB09","PHI","11.0"
"28","Derrick Henry","RB","Sky-high TD upside; Gus Edwards scored 13 times last year.","RB10","BAL","17.0"
"29","Mike Evans","WR","Turns 31 before season. Born to score touchdowns in the NFL.","WR19","TB","31.7"
"30","Travis Etienne Jr.","RB","19.1 touches/game in ’23. Jags made no meaningful RB adds.","RB11","JAX","17.0"
"31","Rashee Rice","WR","Hearing Chiefs expect either 0- or 2-game suspension for Rice.","WR20","KC","73.7"
"32","Deebo Samuel","WR","Trade now looking unlikely. Difference maker when healthy.","WR21","SF","27.0"
"33","Brandon Aiyuk","WR","Absurd 12.8 yards/target in ’23. Seems to be settling back into SF.","WR22","SF","34.7"
"34","Isiah Pacheco","RB","Averaged 23.3 touches in playoffs. Virtually zero competition.","RB12","KC","22.0"
"35","Sam LaPorta","TE","Set records as rookie. Over a decade younger than Travis Kelce.","TE01","DET","30.3"
"36","Stefon Diggs","WR","Will run high-percentage routes as Texans new slot receiver.","WR23","HOU","40.3"
"37","Tank Dell","WR","Dynamic playmaker’s 17-game rookie pace was 80/1,205/12.","WR24","HOU","64.3"
"38","DK Metcalf","WR","It’s his age-26 season. Career-best 16.9 yards/catch in 2023.","WR25","SEA","38.7"
"39","Josh Allen","QB","Allen’s fantasy finishes over last 4 years: QB1, QB1, QB2, QB1.","QB01","BUF","22.7"
"40","Jalen Hurts","QB","Double-digit rush TDs 3 straight seasons. Eagles offense loaded.","QB02","PHI","31.0"
"41","Travis Kelce","TE","Still Patrick Mahomes’ go-to guy. 8/89/1 average in postseason.","TE02","KC","27.0"
"42","Lamar Jackson","QB","Mark Andrews back healthy, Zay Flowers entering year two.","QB03","BAL","38.0"
"43","Patrick Mahomes","QB","Career-low 4.5% TD Rate in ’23. Will positively regress.","QB04","KC","31.0"
"44","Michael Pittman Jr.","WR","Still centerpiece of Shane Steichen’s RPO-based attack.","WR26","IND","38.0"
"45","Christian Kirk","WR","Trevor Lawrence’s most-trusted WR flanked by newcomers.","WR27","JAX","72.7"
