"Rank","Player","Pos","Tm","Pos Rank","Silva Comments","Rank Change","ADP ESPN","ADP Delta","PosADP Delta"
"1","Jahmyr Gibbs","RB","DET","RB01","50+ catches in back-to-back seasons. 20 all-purpose TDs in ‘24.","0","5.3","4.3","2"
"2","Ja'Marr Chase","WR","CIN","WR01","Led NFL in catches, rec yds, rec TDs in ’24. Turned 25 in March.","0","1.6","-0.4","0"
"3","CeeDee Lamb","WR","DAL","WR02","Fantasy’s overall WR1 in last full season with Dak Prescott (‘23).","0","7.4","4.4","1"
"4","Bijan Robinson","RB","ATL","RB02","5 years younger than Saquon. Falcons profile as shootout team.","0","3.3","-0.7","-1"
"5","Saquon Barkley","RB","PHI","RB03","Fading 2024’s No. 1 fantasy difference-maker after 482 touches.","0","3.6","-1.4","-1"
"6","Justin Jefferson","WR","MIN","WR03","Unproven QB; Confidence comes from talent &amp; KOC’s system.","0","4.2","-1.8","-1"
"7","Ashton Jeanty","RB","LV","RB04","Pete Carroll/Chip Kelly will feed MJD-level talent relentlessly.","0","10.5","3.5","1"
"8","Brian Thomas Jr.","WR","JAX","WR04","Freak athlete ranked 6th in NFL in yards per route run as rookie.","0","19.6","11.6","5"
"9","Amon-Ra St. Brown","WR","DET","WR05","Slot machine averaging 6.9 catches per game last 3 seasons.","0","11.6","2.6","0"
"10","De'Von Achane","RB","MIA","RB05","Avg’d 22.6 PPR PPG with Tua Tagovailoa in lineup last season.","0","14.0","4.0","2"
"11","Nico Collins","WR","HOU","WR06","98/1,503/10 last 17 reg season games. CJ Stroud's clear alpha.","0","17.1","6.1","1"
"12","Puka Nacua","WR","LA","WR07","111/1,552/6 last 17 reg season games. Davante Adams aboard.","0","8.9","-3.1","-3"
"13","Christian McCaffrey","RB","SF","RB06","Obv injury risk but overall RB1 finish still in range of outcomes.","0","9.1","-3.9","-2"
"14","Drake London","WR","ATL","WR08","7.3/117.3/0.7 receiving avg in Michael Penix’s three ’24 starts.","0","26.1","12.1","2"
"15","Malik Nabers","WR","NYG","WR09","Giants will revolve O around Nabers and play from behind.","0","13.0","-2.0","-3"
"16","Chase Brown","RB","CIN","RB07","Elite offense. Avg’d 23.6 touches, 116.3 yds, 0.8 TD last 8 games.","0","35.3","19.3","6"
"17","Brock Bowers","TE","LV","TE01","Won 2 Mackeys in college. Huge diff maker, in his own TE tier.","0","20.2","3.2","0"
"18","Ladd McConkey","WR","LAC","WR10","Insta-separator in slot. 4th in NFL in yards/route run as rookie.","0","30.0","12.0","2"
"19","A.J. Brown","WR","PHI","WR11","Age-28 season. Including playoffs, 79/1,242/9 in 17 games last yr.","0","18.9","-0.1","-3"
"20","Derrick Henry","RB","BAL","RB08","Still rolling but will be 31 ½ by Week 1, minimal pass-game role.","1","13.0","-7.0","-2"
"21","Jonathan Taylor","RB","IND","RB09","True week winner when healthy. Overall RB1 last Weeks 15-18.","1","16.2","-4.8","-1"
"22","Bucky Irving","RB","TB","RB10","All-purpose tackle breaker locked in as lead back in loaded O.","1","21.9","-0.1","0"
"23","Jaxon Smith-Njigba","WR","SEA","WR12","New QB &amp; offense after breakout 100-catch campaign.","1","42.1","19.1","4"
"24","Tee Higgins","WR","CIN","WR13","Bengals profile as shootout team. Last 17 games: 88/1,239/13.","1","29.5","5.5","-2"
"25","Davante Adams","WR","LA","WR14","Turns 33 late in season but ideal stylistic match w/ Stafford.","1","37.2","12.2","0"
"26","Josh Jacobs","RB","GB","RB11","Packers brought in no competition for versatile 340-touch horse.","1","19.2","-6.8","-2"
"27","Tyreek Hill","WR","MIA","WR15","Scary pick. Off-field flags, production decline, advancing age (31).","1","32.5","5.5","-2"
"28","Lamar Jackson","QB","BAL","QB01","Year 3 of Todd Monken. 1st, 2nd in NFL MVP voting in first two.","1","23.3","-4.7","1"
"29","Josh Allen","QB","BUF","QB02","Always in overall QB1 hunt; weapons just not as strong as Lamar’s.","1","22.2","-6.8","-1"
"30","Jameson Williams","WR","DET","WR16","Gamebreaker’s role slated to grow after huge 2024 step.","1","83.4","53.4","15"
"31","Mike Evans","WR","TB","WR17","32 in August. Including playoffs, his last 17 games: 92/1,291/13.","1","47.8","16.8","0"
"32","James Cook","RB","BUF","RB12","Lead RB in elite offense. Contract szn. 18 TD in 16 games last yr.","1","27.5","-4.5","0"
"33","Kyren Williams","RB","LA","RB13","Inefficiency increasingly alarming. Still has Sean McVay’s trust.","1","24.0","-9.0","-2"
"34","Omarion Hampton","RB","LAC","RB14","Chargers made Hampton 22nd overall pick. Najee Harris a big ?","1","47.9","13.9","4"
"35","Marvin Harrison Jr.","WR","ARI","WR18","Classic sophomore buy after underwhelming rookie campaign.","1","48.2","13.2","0"
"36","Jaylen Waddle","WR","MIA","WR19","Fins O among NFL's most concentrated. Can he pass Tyreek as WR1?","1","79.5","43.5","10"
"37","Garrett Wilson","WR","NYJ","WR20","Jets going run heavy, but Wilson will dominate Justin Fields’ eye.","1","51.5","14.5","0"
"38","George Kittle","TE","SF","TE02","No Deebo. Aiyuk recovering. Kittle best all-around TE in league.","1","39.2","1.2","1"
"39","Trey McBride","TE","ARI","TE03","111 catches in ’24 ranked fourth in league regardless of position.","1","27.9","-11.1","-1"
"40","Jalen Hurts","QB","PHI","QB03","52 rush TDs last 4 seasons. Tush Push here to stay, for now.","1","34.7","-5.3","1"
"41","Jayden Daniels","QB","WAS","QB04","Arguably best rookie QB season in history. Was QB6 in fantasy.","1","28.7","-12.3","-1"
"42","Breece Hall","RB","NYJ","RB15","Once-dynamic playmaker now 2 seasons removed from ACL tear.","1","43.1","1.1","1"
"43","Terry McLaurin","WR","WAS","WR21","5 straight 1,000+ yd seasons. High-floor, questionable ceiling.","1","38.7","-4.3","-6"
"44","Zay Flowers","WR","BAL","WR22","Ravens WR1 but ceiling questionable in widely-distributed O.","1","68.6","24.6","3"
"45","Chuba Hubbard","RB","CAR","RB16","Workmanlike bellcow in ascending offense with elite O-Line.","1","53.6","8.6","3"
"46","Courtland Sutton","WR","DEN","WR23","Returns as Broncos clear-cut WR1 after riffing with Bo Nix.","1","68.5","22.5","1"
"47","Chris Olave","WR","NO","WR24","Concussion history, rookie QB render Olave screaming value.","1","97.2","50.2","14"
"48","George Pickens","WR","DAL","WR25","Contract yr. Dallas’ perimeter pass game belongs to Pickens.","1","73.6","25.6","3"
"49","Xavier Worthy","WR","KC","WR26","R. Rice suspension fuels Worthy to build on promising rookie yr.","27","59.1","10.1","-3"
"50","Calvin Ridley","WR","TEN","WR27","Fave for WR1 treatment with No. 1 overall pick Cam Ward.","0","81.9","31.9","3"
"51","DK Metcalf","WR","PIT","WR28","Rough-around-edges talent enters run-dominant Steelers O.","0","55.0","4.0","-7"
"52","Tet McMillan","WR","CAR","WR29","Clear path to Bryce Young’s WR1 as 2025’s No. 8 overall pick.","0","90.3","38.3","5"
"53","Rashee Rice","WR","KC","WR30","Expecting 4-6 game suspension after guilty plea to two felonies.","-33","48.5","-4.5","-11"
"54","DeVonta Smith","WR","PHI","WR31","Elite player. Run-first O, top-shelf DEF curb box-score ceiling.","-1","69.3","15.3","-5"
"55","Travis Hunter","WR","JAX","WR32","Actual generational talent with TBD role behind Brian Thomas.","-1","71.9","16.9","-5"
"56","Alvin Kamara","RB","NO","RB17","30 in July. Still virtually no competition after renaissance year.","-1","44.1","-11.9","0"
"57","Joe Mixon","RB","HOU","RB18","Avg’d 20.1 touches in first season with HOU. Feature back role safe.","-1","36.6","-20.4","-4"
"58","James Conner","RB","ARI","RB19","Just turned 30. Cards made zero notable offseason RB adds.","-1","53.7","-4.3","1"
"59","Kenneth Walker III","RB","SEA","RB20","Explosive but boom-busty back entering revised Seattle O.","-1","41.1","-17.9","-5"
"60","Tony Pollard","RB","TEN","RB21","Tyjae Spears is lone competition for Pollard’s backfield work.","-1","83.2","23.2","5"
"61","TreVeyon Henderson","RB","NE","RB22","HR-hitting part of tandem w/ Rhamondre Stevenson.","-1","86.3","25.3","7"
"62","D'Andre Swift","RB","CHI","RB23","Bears punted RB upgrades. Swift knows Ben Johnson from DET.","-1","70.3","8.3","0"
"63","DJ Moore","WR","CHI","WR33","Exhibited alarming lack of chemistry with Caleb Williams in ‘24.","-1","55.5","-7.5","-11"
"64","Joe Burrow","QB","CIN","QB05","Bengals my favorite to lead league in points scored this year.","-1","39.4","-24.6","0"
"65","Isiah Pacheco","RB","KC","RB24","Broke fibula last Week 2. Repositioned for Chiefs top RB job.","-1","83.2","18.2","3"
"66","Ricky Pearsall","WR","SF","WR34","Year-2 breakout appeal with Deebo gone, Aiyuk recovering.","-1","119.5","53.5","12"
"67","Jauan Jennings","WR","SF","WR35","Real shot to secure 49ers WR1 job after breakout campaign.","-1","105.9","38.9","5"
"68","Deebo Samuel","WR","WAS","WR36","Excellent fit for Kliff Kingsbury O. Declining? Turned 29 in Jan.","-1","101.3","33.3","3"
