rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
418,19892,Carlton Davis III,NE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.4,4.2,72.2
419,26131,Darius Alexander,NYG,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.4,0.5,0.3,4.2,72.2
420,21999,Akeem Davis-Gaither,IND,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.7,0.3,4.2,72.1
421,13338,Cameron Jordan,NO,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.5,0.5,0.3,4.2,71.9
422,24209,Calijah Kancey,TB,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.4,0.5,0.2,4.2,71.7
423,25022,Byron Murphy II,SEA,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.3,0.6,0.3,4.2,71.7
424,22899,Deommodore Lenoir,SF,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0,0.5,4.2,71.7
425,20204,Charvarius Ward,IND,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.4,4.2,71.5
426,23423,Coby Bryant,CHI,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,0.5,4.2,71.5
427,24091,Antonio Johnson,JAX,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.6,0.7,0.3,4.2,71.4
428,16323,Khalil Mack,LAC,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.2,0.6,0.3,4.2,71.3
429,24097,Christian Gonzalez,NE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.3,4.2,71.2
430,23274,Dee Alford,BUF,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.7,0.4,4.2,71.1
431,21239,Keisean Nixon,GB,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.4,4.2,71.1
432,22868,Joseph Ossai,NYJ,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.2,0.5,0.3,4.2,71.0
433,19815,Christian Kirk,SF,WR,17,0.0,0.0,0.0,7.0,0.0,27.3,314.1,2.0,0.0,0.0,0.0,0.0,4.2,71.0
434,25192,Renardo Green,SF,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.5,4.2,71.0
435,20738,Zach Allen,DEN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.2,0.7,0.3,4.2,70.9
436,23607,Christian Benford,BUF,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,1.0,0.5,4.2,70.9
437,20898,Ed Oliver,BUF,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.3,0.6,0.3,4.2,70.8
438,25026,Tyler Nubin,NYG,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.4,4.2,70.8
439,26014,Malaki Starks,BAL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,1.0,0.5,4.2,70.8
440,25892,Elijah Sarratt,BAL,WR,17,0.0,0.0,0.0,2.5,0.0,23.7,319.8,2.5,0.0,0.0,0.0,0.0,4.2,70.7
441,20842,Dre'Mont Jones,NE,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.2,0.5,0.3,4.2,70.7
442,25993,Walter Nolen III,ARI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.6,0.5,0.3,4.2,70.6
443,19318,Kendrick Bourne,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,27.5,330.8,1.7,0.0,0.0,0.0,0.0,4.1,70.4
444,24989,Tory Horton,SEA,WR,17,0.0,0.0,0.0,4.5,0.0,22.5,300.5,2.9,0.0,0.0,0.0,0.0,4.1,70.2
445,25987,Chimere Dike,TEN,WR,17,0.0,0.0,0.0,24.7,0.0,28.9,286.2,1.9,0.0,0.0,0.0,0.0,4.1,70.2
446,24928,Nate Wiggins,BAL,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.5,4.1,70.1
447,26140,Dante Trader Jr.,MIA,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.6,0.3,4.1,69.9
448,26135,Craig Woodson,NE,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.7,0.4,4.1,69.8
449,24132,Myles Murphy,CIN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.3,0.6,0.3,4.1,69.8
450,23296,Leo Chenal,WAS,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.5,0.3,4.1,69.8
451,21142,Olamide Zaccheaus,ATL,WR,17,0.0,0.0,0.0,6.0,0.0,30.9,290.5,1.6,0.0,0.0,0.0,0.0,4.1,69.8
452,21888,K'Lavon Chaisson,WAS,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.8,0.7,0.3,4.1,69.7
453,15516,Tony Jefferson,LAC,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,0.6,0.3,4.1,69.6
454,23165,Marvin Mims Jr.,DEN,WR,17,0.0,0.0,0.0,58.4,1.0,26.9,250.0,1.2,0.0,0.0,0.0,0.0,4.1,69.5
455,23337,Sauce Gardner,IND,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.8,0.4,4.1,69.5
456,26731,Chris Brazzell II,CAR,WR,17,0.0,0.0,0.0,4.0,0.0,23.6,308.0,2.5,0.0,0.0,0.0,0.0,4.1,69.4
457,22694,Jaycee Horn,CAR,CB,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,0.8,0.4,4.3,69.3
458,23548,Montaric Brown,JAX,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,0.4,4.1,69.2
459,23382,Jermaine Johnson II,TEN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.5,0.7,0.3,4.1,69.2
460,24126,Joey Porter Jr.,PIT,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.1,0.5,4.1,69.1
461,18875,Jonathan Allen,CIN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.3,0.7,0.3,4.1,69.0
462,22000,Justin Strnad,DEN,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.6,0.6,0.3,4.1,69.0
463,24474,Kobie Turner,LAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.5,0.7,0.4,4.1,68.9
464,26042,Kevin Winston Jr.,TEN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.7,0.3,4.0,68.8
465,21961,Darnell Mooney,NYG,WR,17,0.0,0.0,0.0,5.0,0.1,27.5,336.1,1.2,0.0,0.0,0.0,0.0,4.0,68.8
466,19896,Arden Key,IND,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.2,0.6,0.3,4.0,68.8
467,23446,D'Marco Jackson,CHI,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,0.5,0.3,4.0,68.8
468,26862,Caleb Douglas,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,24.9,335.2,1.8,0.0,0.0,0.0,0.0,4.0,68.6
469,24949,Chop Robinson,MIA,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.3,0.5,0.3,4.0,68.6
470,26064,Andrew Mukuba,PHI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.8,0.4,4.0,68.6
471,17691,Brandon Stephens,NYJ,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.8,0.4,4.0,68.3
472,23424,Bryan Cook,CIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.4,4.0,68.3
473,26898,A.J. Haulcy,IND,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,4.0,68.3
474,22744,Milton Williams,NE,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.3,0.5,0.2,4.0,68.1
475,18975,Jourdan Lewis,JAX,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,0.8,0.4,4.0,68.1
476,25160,Jalyx Hunt,PHI,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.6,0.3,4.0,68.0
477,23334,Derek Stingley Jr.,HOU,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.9,0.4,4.0,68.0
478,23554,Kyler Gordon,CHI,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.7,0.4,4.0,67.8
479,28113,Dominic Zvada,NYG,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,67.6
480,23169,Theo Wease Jr.,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,25.0,306.0,2.0,0.0,0.0,0.0,0.0,4.0,67.6
481,26194,Upton Stout,SF,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.7,0.3,4.0,67.5
482,21889,Josh Uche,MIA,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.6,0.5,0.3,4.0,67.4
483,25995,Nic Scourton,CAR,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.3,0.6,0.3,4.0,67.4
484,17979,A'Shawn Robinson,TB,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.2,0.5,0.3,4.0,67.2
485,16366,DeMarcus Lawrence,SEA,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.3,0.5,0.2,3.9,67.1
486,26819,Arvell Reese,NYG,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.3,3.9,67.1
487,24186,Brian Branch,DET,DB,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.3,5.6,67.1
488,19953,D.J. Reed,DET,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.8,0.4,3.9,67.1
489,25027,Kamren Kinchens,LAR,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.8,0.4,3.9,67.0
490,24111,Gervon Dexter Sr.,CHI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.2,0.7,0.3,3.9,66.9
491,22740,Andre Cisco,NYJ,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.7,0.4,3.9,66.9
492,22887,Elijah Molden,LAC,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.3,3.9,66.8
493,23155,Jahan Dotson,ATL,WR,17,0.0,0.0,0.0,7.0,0.0,25.3,331.6,1.3,0.0,0.0,0.0,0.0,3.9,66.6
494,25542,Omar Speights,LAR,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.3,3.9,66.3
495,22867,Odafe Oweh,WAS,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.2,0.5,0.3,3.9,66.2
496,25139,Tarheeb Still,LAC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.8,0.4,3.9,66.1
497,21899,Malcolm Roach,DEN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.3,0.6,0.3,3.9,66.0
498,20776,Carl Granderson,NO,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.2,0.6,0.3,3.9,66.0
499,25899,Brashard Smith,KC,RB,17,0.0,0.0,0.0,89.0,1.2,26.1,189.2,1.0,0.0,0.0,0.0,0.0,3.9,65.9
500,22597,Jalen Tolbert,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,26.7,300.7,1.6,0.0,0.0,0.0,0.0,3.9,65.8
501,26035,Jacob Parrish,TB,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.2,0.6,0.3,3.9,65.7
502,22841,Jevón Holland,NYG,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.8,0.4,3.9,65.7
503,23142,Theo Johnson,NYG,TE,17,0.0,0.0,0.0,0.0,0.0,25.1,265.8,2.4,0.0,0.0,0.0,0.0,3.9,65.7
504,23662,Jake Tonges,SF,TE,17,0.0,0.0,0.0,0.0,0.0,22.4,243.0,3.2,0.0,0.0,0.0,0.0,3.9,65.5
505,26828,Caleb Downs,DAL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.7,0.4,3.9,65.5
506,24191,Lukas Van Ness,GB,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.3,0.5,0.3,3.8,65.2
507,26152,Jason Marshall Jr.,MIA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.7,0.3,3.8,65.2
508,26921,Josiah Trotter,TB,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,3.8,65.0
509,24144,Bryan Bresee,NO,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.2,0.6,0.3,3.8,64.9
510,20840,Lonnie Johnson Jr.,MIA,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.6,0.3,3.8,64.9
511,24232,Jay Ward,MIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,0.3,3.8,64.7
512,18032,Tyler Higbee,LAR,TE,17,0.0,0.0,0.0,0.0,0.0,19.8,296.8,2.6,0.0,0.0,0.0,0.0,3.8,64.7
513,23193,Tank Bigsby,PHI,RB,17,0.0,0.0,0.0,392.3,2.9,4.9,33.8,0.2,0.0,0.0,0.0,0.0,3.8,64.5
514,18920,Malik Hooker,DAL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.3,3.8,64.5
515,23522,Travis Jones,BAL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.2,0.8,0.4,3.8,64.3
516,19918,Josh Sweat,ARI,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.3,0.5,0.2,3.8,64.3
517,26016,Abdul Carter,NYG,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.4,0.7,0.3,3.8,64.2
518,26932,Mike Washington Jr.,LV,RB,17,0.0,0.0,0.0,328.0,1.8,11.0,77.9,0.6,0.0,0.0,0.0,0.0,3.8,64.2
519,23421,Marcus Jones,NE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.6,0.3,3.8,64.0
520,24646,Ty Okada,SEA,FS,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.6,0.3,3.7,63.5
521,21909,D.J. Wonnum,DET,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.5,0.7,0.3,3.7,63.5
522,25003,Xavier Legette,CAR,WR,17,0.0,0.0,0.0,5.6,0.1,26.3,282.2,1.4,0.0,0.0,0.0,0.0,3.7,63.5
523,28053,De'Zhaun Stribling,SF,WR,17,0.0,0.0,0.0,0.0,0.0,23.3,311.0,1.5,0.0,0.0,0.0,0.0,3.7,63.2
524,26017,James Pearce Jr.,ATL,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.3,0.6,0.3,3.7,62.8
525,25935,Malachi Fields,NYG,WR,17,0.0,0.0,0.0,2.5,0.0,22.3,277.5,2.1,0.0,0.0,0.0,0.0,3.7,62.7
526,24277,Yaya Diaby,TB,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.3,0.6,0.3,3.7,62.6
527,25992,Mason Graham,CLE,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.7,0.3,3.7,62.5
528,19928,Taron Johnson,LV,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.7,0.6,0.3,3.7,62.5
529,23367,Ja'Quan McMillian,DEN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.7,0.3,3.7,62.3
530,24109,Felix Anudike-Uzomah,KC,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.5,0.5,0.3,3.7,62.3
531,19830,Denzel Ward,CLE,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,0.4,3.7,62.2
532,19841,Daron Payne,WAS,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.6,0.3,3.6,62.0
533,24261,Dorian Williams,BUF,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.5,0.3,3.6,62.0
534,25349,Jonah Laulu,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3,0.6,0.3,3.6,62.0
535,25017,Denzel Burke,ARI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.6,0.3,3.6,61.9
536,24233,Ji'Ayir Brown,SF,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.4,3.6,61.9
537,26869,Dillon Thieneman,CHI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.4,3.6,61.8
538,20899,Josh Oliver,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,18.8,199.8,3.9,0.0,0.0,0.0,0.0,3.6,61.8
539,17059,Grady Jarrett,CHI,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.2,0.7,0.4,3.6,61.5
540,17981,Jarran Reed,SEA,NT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.3,0.5,0.3,3.6,61.1
541,21747,Brandon Aiyuk,SF,WR,17,0.0,0.0,0.0,5.4,0.0,21.6,281.6,1.8,0.0,0.0,0.0,0.0,3.6,61.1
542,25299,Darius Robinson,ARI,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0.5,0.3,3.6,61.0
543,26052,Will Johnson,ARI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.4,3.6,60.9
544,26069,Jeffrey Bassa,KC,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.5,0.5,0.2,3.6,60.9
545,22689,Kwity Paye,LV,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.3,0.5,0.3,3.6,60.8
546,26046,Maxwell Hairston,BUF,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,0.7,0.4,3.6,60.8
547,24945,Maason Smith,ATL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.3,0.6,0.3,3.6,60.5
548,22139,Isaiah Rodgers,MIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.5,3.6,60.4
549,18331,Chris Jones,KC,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.4,0.6,0.3,3.5,60.2
550,20852,Dexter Lawrence II,CIN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.6,0.6,0.3,3.5,60.2
551,21064,Jamel Dean,PIT,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,0.8,0.4,3.5,60.2
552,19014,Grover Stewart,IND,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0.6,0.3,3.5,60.2
553,26162,Justin Walley,IND,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.7,0.4,3.5,60.2
554,23328,Cor'Dale Flott,TEN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.4,3.5,60.1
555,21785,Noah Gray,KC,TE,17,0.0,0.0,0.0,0.0,0.0,26.5,242.2,1.6,0.0,0.0,0.0,0.0,3.5,59.9
556,23460,Roger McCreary,DET,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.7,0.3,3.5,59.9
557,25157,Dru Phillips,NYG,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,0.6,0.3,3.5,59.8
558,22786,Eric Stokes,LV,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.4,3.5,59.8
559,20157,Jalen Davis,CIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4,0.6,0.3,3.5,59.7
560,24980,Ray Davis,BUF,RB,17,0.0,0.0,0.0,289.8,1.9,9.0,75.2,0.7,0.0,0.0,0.0,0.0,3.5,59.7
561,21934,L'Jarius Sneed,KC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,3.5,59.6
562,16778,Arik Armstead,JAX,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.2,0.6,0.3,3.5,59.5
563,25403,Spencer Shrader,IND,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,59.5
564,26807,Ted Hurst,TB,WR,17,0.0,0.0,0.0,6.5,0.0,22.1,259.9,1.8,0.0,0.0,0.0,0.0,3.5,59.3
565,22873,Osa Odighizuwa,SF,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.6,0.3,3.5,59.3
566,24242,JuJu Brents,MIA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.7,0.3,3.5,59.2
567,25997,Jihaad Campbell,PHI,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.6,0.3,3.5,59.2
568,24455,Desjuan Johnson,LAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,0.6,0.3,3.5,59.1
569,24959,Javon Bullard,GB,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,3.5,58.9
570,19275,Adam Butler,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.3,0.6,0.3,3.5,58.8
571,20753,Noah Fant,NO,TE,17,0.0,0.0,0.0,0.0,0.0,25.7,244.9,1.5,0.0,0.0,0.0,0.0,3.5,58.8
572,25421,Thomas Harper,DET,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,0.7,0.3,3.5,58.8
573,17963,Austin Hooper,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,21.4,305.3,1.2,0.0,0.0,0.0,0.0,3.5,58.7
574,24239,Tyrique Stevenson,CHI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.4,3.4,58.6
575,18017,Javon Hargrave,GB,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.4,0.6,0.3,3.4,58.5
576,25298,Cam Hart,LAC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.7,0.3,3.4,58.5
577,24106,DJ Turner II,CIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,3.4,58.5
578,22613,Joshua Palmer,BUF,WR,17,0.0,0.0,0.0,0.0,0.0,19.6,302.4,1.5,0.0,0.0,0.0,0.0,3.4,58.4
579,24427,Moro Ojomo,PHI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.3,0.6,0.3,3.4,58.4
580,19023,Mack Hollins,NE,WR,17,0.0,0.0,0.0,3.0,0.0,23.0,264.1,1.5,0.0,0.0,0.0,0.0,3.4,58.3
581,23253,Dontayvion Wicks,PHI,WR,17,0.0,0.0,0.0,4.0,0.0,22.5,258.8,1.6,0.0,0.0,0.0,0.0,3.4,58.2
582,22906,Alim McNeill,DET,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.7,0.4,3.4,58.1
583,25886,Jonah Coleman,DEN,RB,17,0.0,0.0,0.0,203.3,1.7,13.7,104.2,0.8,0.0,0.0,0.0,0.0,3.4,57.9
584,24947,Ja'Tavion Sanders,CAR,TE,17,0.0,0.0,0.0,0.0,0.0,29.6,209.6,1.3,0.0,0.0,0.0,0.0,3.4,57.8
585,25964,Elic Ayomanor,TEN,WR,17,0.0,0.0,0.0,0.0,0.0,19.1,251.9,2.3,0.0,0.0,0.0,0.0,3.4,57.7
586,21886,Broderick Washington Jr.,BAL,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.4,0.6,0.3,3.4,57.6
587,24194,Sean Tucker,TB,RB,17,0.0,0.0,0.0,239.4,3.0,8.6,67.9,0.3,0.0,0.0,0.0,0.0,3.4,57.5
588,23515,Jordan Davis,PHI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.2,0.5,0.3,3.4,57.5
589,18983,James Conner,ARI,RB,17,0.0,0.0,0.0,227.2,1.7,13.2,88.9,0.7,0.0,0.0,0.0,0.0,3.4,57.4
590,25030,Quinyon Mitchell,PHI,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.4,3.4,57.4
591,25998,Jalon Walker,ATL,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.3,0.6,0.3,3.4,57.2
592,26021,Trey Amos,WAS,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.8,0.4,3.4,57.1
593,18042,David Onyemata,NYJ,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.2,0.5,0.2,3.4,57.1
