player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Turner,1873,HB,ATL,16,376,50,25,35.1,597,0,1699,2,1,50,1277,45.3,45,85,2,2,0,84.6,72.1,82.1,,67.8,41.8,72.3,57.0,70,0,41,6,135,419,0,0,9,382,17,1699,1277,3.4,4.5,0.3,0
Adrian Peterson,3623,HB,MIN,16,363,52,26,41.1,723,0,1760,6,2,52,1174,45.5,42,81,18,10,0,29.0,64.0,30.3,,65.7,34.1,68.6,58.3,67,1,125,21,230,404,0,0,33,384,10,1760,1174,3.23,4.8,0.54,0
Clinton Portis,1058,HB,WAS,16,342,26,15,23.5,349,1,1487,6,2,26,924,20.4,34,76,32,3,0,72.5,68.5,32.8,,79.7,46.2,69.2,77.9,31,2,218,28,250,375,0,0,35,370,9,1487,924,2.7,4.3,0.87,0
Matt Forte,4358,HB,CHI,16,316,22,13,26.7,330,0,1238,2,10,22,692,18.5,24,64,6,1,0,89.7,59.9,83.9,,74.9,87.5,49.3,60.3,50,0,477,63,329,353,0,0,74,379,8,1238,692,2.19,3.9,1.45,0
Ryan Grant,2609,HB,GB,16,312,22,11,22.2,267,0,1203,3,1,22,814,18.2,27,53,12,4,0,62.7,50.5,81.8,,53.8,44.4,53.3,60.4,57,0,116,18,175,339,0,0,22,330,4,1203,814,2.61,3.9,0.66,0
LaDainian Tomlinson,777,HB,SD,16,292,24,7,19.5,216,0,1110,6,5,24,704,20.3,17,52,27,1,0,90.2,50.8,57.6,,28.1,50.8,55.2,53.3,45,2,415,52,335,325,0,0,69,344,11,1110,704,2.41,3.8,1.24,0
Thomas Jones,585,HB,NYJ,16,290,18,12,21.6,283,1,1312,0,3,18,766,17.0,30,63,22,2,0,77.7,54.2,49.1,,76.6,63.1,53.1,58.8,59,1,207,36,183,323,0,0,42,326,13,1312,766,2.64,4.5,1.13,0
Jamal Lewis,583,HB,CLV,16,279,23,9,17.4,174,0,1002,4,4,23,706,22.6,22,44,8,2,0,76.1,45.4,81.9,,53.5,39.1,49.6,57.3,29,0,178,23,167,318,0,0,31,302,4,1002,706,2.53,3.6,1.07,0
DeAngelo Williams,2972,HB,CAR,16,273,57,23,43.0,652,1,1515,3,5,57,1066,82.1,39,66,5,0,0,91.3,82.1,52.2,,49.7,45.4,86.9,58.1,69,1,121,22,213,297,0,0,28,295,18,1515,1066,3.9,5.5,0.57,0
Steve Slaton,4403,HB,HST,16,268,34,18,42.8,549,0,1282,0,12,34,829,44.7,30,59,13,3,0,66.5,70.3,83.6,,64.0,72.2,67.6,59.5,71,0,418,50,355,289,0,0,56,318,9,1282,829,3.09,4.8,1.18,0
Steven Jackson,1745,HB,SL,12,253,25,10,25.1,262,0,1042,7,10,25,758,35.8,20,58,26,5,0,46.7,53.3,28.0,,57.4,60.8,53.6,46.4,56,3,379,40,250,276,0,0,56,293,7,1042,758,3.0,4.1,1.52,0
Chris Johnson,4338,HB,TEN,15,251,32,16,35.7,439,0,1228,6,4,32,781,38.1,36,54,31,1,0,88.6,66.1,53.5,,45.7,48.2,70.7,86.5,66,2,260,43,275,275,0,0,59,294,9,1228,781,3.11,4.9,0.95,0
Marshawn Lynch,3628,HB,BUF,15,250,42,11,25.3,262,1,1036,10,10,42,749,52.5,26,53,4,3,0,75.0,69.3,16.2,,45.5,50.3,76.7,59.3,50,3,300,47,303,278,0,0,64,297,8,1036,749,3.0,4.1,0.99,0
Frank Gore,2282,HB,SF,14,240,20,10,25.2,261,0,1036,4,8,20,612,25.2,20,46,28,7,0,40.7,53.5,32.7,,64.9,57.6,52.9,57.1,41,2,373,43,326,276,0,0,58,283,6,1036,612,2.55,4.3,1.14,0
