source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
predicted,0,0,baseline,True,,270.0,True,True,True,Breece Hall | Chris Godwin Jr. | DK Metcalf | Daniel Jones | De'Von Achane | Drake Maye | Emeka Egbuka | Jadarian Price | Jameson Williams | Jonathan Taylor | Kyle Monangai | RJ Harvey | Sam LaPorta
predicted,0,1,baseline,False,market_slots,278.0,True,False,True,Breece Hall | DK Metcalf | De'Von Achane | Drake Maye | Jeremiyah Love | Jordan Love | Jordan Mason | Josh Jacobs | Kyle Monangai | Ladd McConkey | Malik Nabers | Rome Odunze
predicted,0,2,baseline,True,,264.0,True,True,True,Brian Thomas Jr. | Christian Watson | De'Von Achane | Drake Maye | Emeka Egbuka | George Kittle | Jeremiyah Love | Josh Jacobs | Kyren Williams | Matthew Stafford | Tony Pollard | TreVeyon Henderson | Wan'Dale Robinson
predicted,0,3,baseline,True,,264.0,True,True,True,Bhayshul Tuten | Bryce Young | Carnell Tate | De'Von Achane | Drake Maye | J.K. Dobbins | James Cook | Josh Jacobs | Kyle Monangai | Ladd McConkey | Luther Burden III | Rome Odunze | Tyler Warren
predicted,0,4,baseline,True,,273.0,True,True,True,Bhayshul Tuten | Breece Hall | Bryce Young | Chuba Hubbard | DK Metcalf | Davante Adams | De'Von Achane | Drake Maye | Jaylen Warren | Jonathan Taylor | Luther Burden III | Rome Odunze | Tyler Warren
predicted,0,5,baseline,True,,241.0,True,True,True,Christian Watson | Chuba Hubbard | Colston Loveland | De'Von Achane | Drake Maye | Fernando Mendoza | Jacory Croskey-Merritt | Jonathan Taylor | Jonathon Brooks | Ladd McConkey | Mike Evans | Rome Odunze | TreVeyon Henderson
predicted,0,6,baseline,True,,276.0,True,True,True,Bhayshul Tuten | Breece Hall | De'Von Achane | Drake Maye | Emeka Egbuka | Harold Fannin Jr. | J.K. Dobbins | Jadarian Price | Jonathan Taylor | Jordan Love | Luther Burden III | Michael Wilson | Xavier Worthy
predicted,0,7,baseline,True,,250.0,True,True,True,Christian Watson | D'Andre Swift | DK Metcalf | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jonathan Taylor | Josh Jacobs | Marvin Harrison Jr. | Rico Dowdle | Rome Odunze | Sam Darnold | Tony Pollard
predicted,0,8,baseline,True,,278.0,True,True,True,Breece Hall | Christian Watson | Chuba Hubbard | De'Von Achane | Drake Maye | Jonathan Taylor | Jonathon Brooks | Jordan Love | Luther Burden III | Marvin Harrison Jr. | RJ Harvey | Rome Odunze | Tyler Warren
predicted,0,9,baseline,True,,260.0,True,True,True,C.J. Stroud | Carnell Tate | Christian Watson | Chuba Hubbard | DK Metcalf | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jadarian Price | Jonathan Taylor | Josh Jacobs | Luther Burden III | Rico Dowdle
predicted,0,10,baseline,True,,260.0,True,True,True,Aaron Rodgers | Christian Watson | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jacory Croskey-Merritt | Jadarian Price | Jonathan Taylor | Josh Jacobs | Luther Burden III | Mike Evans | Parker Washington | Rico Dowdle
predicted,0,11,baseline,True,,270.0,True,True,True,Bhayshul Tuten | De'Von Achane | Drake Maye | Jaylen Waddle | Jonathan Taylor | Josh Jacobs | Kyle Monangai | Luther Burden III | Michael Wilson | Mike Evans | Rhamondre Stevenson | Sam Darnold | Tyler Warren
predicted,0,12,baseline,True,,279.0,True,True,True,Baker Mayfield | Bhayshul Tuten | Cam Skattebo | Christian Watson | De'Von Achane | Drake Maye | George Kittle | J.K. Dobbins | Jadarian Price | Jonathan Taylor | Luther Burden III | Mike Evans | Rome Odunze
predicted,0,13,baseline,True,,262.0,True,True,True,Bhayshul Tuten | Christian Watson | Chuba Hubbard | Colston Loveland | DJ Moore | De'Von Achane | Drake Maye | George Pickens | Jaylen Warren | Jordan Love | Josh Jacobs | Nico Collins | Tetairoa McMillan
predicted,0,14,baseline,True,,253.0,True,True,True,Carnell Tate | Chris Godwin Jr. | Christian Watson | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jaylen Warren | Jonathan Taylor | Jordan Love | Kyren Williams | Rome Odunze | Tony Pollard | TreVeyon Henderson
predicted,0,15,baseline,True,,264.0,True,True,True,Bhayshul Tuten | Carnell Tate | Christian Watson | Chuba Hubbard | De'Von Achane | Drake Maye | George Pickens | Jacory Croskey-Merritt | Jadarian Price | Jameson Williams | Jonathan Taylor | Kyler Murray | Tyler Warren
