source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
predicted,3,0,baseline,True,,286.0,True,True,True,Bucky Irving | Christian Watson | DJ Moore | De'Von Achane | Drake Maye | George Pickens | Josh Jacobs | Kenneth Walker III | Luther Burden III | Matthew Stafford | Quentin Johnston | Rachaad White | Tyler Warren
predicted,3,1,baseline,True,,246.0,True,True,True,Bucky Irving | Carnell Tate | Christian Watson | Chuba Hubbard | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jordan Mason | Marvin Harrison Jr. | Sam Darnold | Tetairoa McMillan | Tyler Warren
predicted,3,2,baseline,True,,244.0,True,True,True,Blake Corum | Chuba Hubbard | Daniel Jones | De'Von Achane | Derrick Henry | Drake Maye | George Pickens | Quentin Johnston | RJ Harvey | Terry McLaurin | Tony Pollard | Tyler Warren | Zay Flowers
predicted,3,3,baseline,True,,276.0,True,True,True,Bucky Irving | Carnell Tate | De'Von Achane | Drake Maye | Fernando Mendoza | George Kittle | Jaylen Waddle | Jordyn Tyson | Josh Jacobs | Kenneth Walker III | Kyren Williams | Mike Evans | TreVeyon Henderson
predicted,3,4,baseline,True,,262.0,True,True,True,Bucky Irving | Cam Skattebo | Christian Watson | De'Von Achane | Denzel Boston | Drake Maye | Kenneth Walker III | Kyle Pitts | Kyren Williams | Malik Nabers | Mike Evans | Sam Darnold | TreVeyon Henderson
predicted,3,5,baseline,True,,269.0,True,True,True,Breece Hall | Christian Watson | DJ Moore | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jordan Love | Josh Downs | Josh Jacobs | Kenneth Walker III | Kyren Williams | Terry McLaurin | Tony Pollard
predicted,3,6,baseline,True,,278.0,True,True,True,Carnell Tate | D'Andre Swift | De'Von Achane | Derrick Henry | Drake Maye | Jared Goff | Jaylen Waddle | Josh Jacobs | Luther Burden III | Mike Evans | RJ Harvey | TreVeyon Henderson | Tyler Warren
predicted,3,7,baseline,True,,259.0,True,True,True,Bryce Young | Carnell Tate | David Montgomery | De'Von Achane | Drake Maye | Josh Jacobs | Kenny Gainwell | Kyren Williams | Makai Lemon | Mike Evans | Rome Odunze | Saquon Barkley | Travis Kelce
predicted,3,8,baseline,True,,270.0,True,True,True,Cam Skattebo | Carnell Tate | Christian Watson | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jordan Love | Josh Jacobs | Kyle Pitts | Rhamondre Stevenson | Rome Odunze | Romeo Doubs
predicted,3,9,baseline,True,,274.0,True,True,True,Baker Mayfield | Bhayshul Tuten | Bucky Irving | Cam Skattebo | Carnell Tate | Christian Watson | Colston Loveland | David Montgomery | De'Von Achane | Drake Maye | Josh Jacobs | Malik Nabers | Terry McLaurin
predicted,3,10,baseline,True,,293.0,True,True,True,Bhayshul Tuten | Bucky Irving | Christian Watson | De'Von Achane | Derrick Henry | Drake Maye | Garrett Wilson | George Pickens | Isaiah Likely | Josh Jacobs | Mike Evans | Pat Bryant | Sam Darnold
predicted,3,11,baseline,True,,250.0,True,True,True,Bucky Irving | Cam Skattebo | DK Metcalf | De'Von Achane | Derrick Henry | Drake Maye | Jaylen Waddle | Jordan Addison | Kenny Gainwell | Kyle Pitts | Mike Evans | Rhamondre Stevenson | Sam Darnold
predicted,3,12,baseline,True,,288.0,True,True,True,Brian Thomas Jr. | Bucky Irving | Carnell Tate | Christian Watson | Colston Loveland | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jalen McMillan | Jaylen Warren | Jordan Love | Josh Jacobs
predicted,3,13,baseline,True,,269.0,True,True,True,Brian Thomas Jr. | Cam Skattebo | Carnell Tate | Christian Watson | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jordan Love | Josh Jacobs | Kyle Pitts | Luther Burden III | TreVeyon Henderson
predicted,3,14,baseline,False,market_slots,267.0,True,True,True,Brian Thomas Jr. | Christian Watson | DJ Moore | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jameson Williams | Kyle Pitts | Kyler Murray | Kyren Williams | Tony Pollard
predicted,3,15,baseline,True,,248.0,True,True,True,Breece Hall | C.J. Stroud | Christian Watson | D'Andre Swift | De'Von Achane | Drake Maye | Jonathon Brooks | Jordan Addison | Josh Jacobs | Kenneth Walker III | Marvin Harrison Jr. | Sam LaPorta | Tetairoa McMillan
predicted,3,16,baseline,True,,271.0,True,True,True,Carnell Tate | Chris Godwin Jr. | Christian Watson | De'Von Achane | Derrick Henry | Drake Maye | Josh Jacobs | Kyle Monangai | Kyle Pitts | Kyren Williams | Mike Evans | Sam Darnold | TreVeyon Henderson
predicted,3,17,baseline,True,,272.0,True,True,True,Cam Skattebo | Carnell Tate | Christian Watson | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Harold Fannin Jr. | Jordan Love | Josh Jacobs | Ladd McConkey | Mike Evans | Tony Pollard
predicted,3,18,baseline,True,,279.0,True,True,True,Alec Pierce | Bucky Irving | Carnell Tate | Christian Watson | David Montgomery | De'Von Achane | Derrick Henry | Drake Maye | Jordan Love | Josh Jacobs | Tee Higgins | TreVeyon Henderson | Tyler Warren
predicted,3,19,baseline,True,,276.0,True,True,True,Bhayshul Tuten | Christian Watson | De'Von Achane | Derrick Henry | Drake Maye | Harold Fannin Jr. | Jordan Addison | Josh Jacobs | Luther Burden III | Tetairoa McMillan | Tony Pollard | TreVeyon Henderson | Tyler Shough
predicted,3,20,baseline,True,,261.0,True,True,True,Bucky Irving | Cam Skattebo | DJ Moore | De'Von Achane | Derrick Henry | Drake Maye | Fernando Mendoza | Jameson Williams | Kenny Gainwell | Kyle Pitts | Mike Evans | Rome Odunze | TreVeyon Henderson
predicted,3,21,baseline,True,,275.0,True,True,True,A.J. Brown | Bhayshul Tuten | Blake Corum | Brian Thomas Jr. | Christian Watson | De'Von Achane | Drake Maye | Garrett Wilson | Jordan Mason | Josh Jacobs | Kyler Murray | Kyren Williams | Tyler Warren
