Full Name,Position,BMI,Height (Inches),Weight,Age,Hand Size,Arm Length,20-Yard Shuttle,Athleticism Score,Catch Radius,Height-adjusted Speed Score,Bench Press,3-Cone Drill,40-Yard Dash,Broad Jump,SPARQ-x,Vertical Jump,Burst Score,Agility Score,College YPR,College Dominator Rating,Breakout Year,Breakout Age
Chris Owusu,WR,27.10,72.00,200 lbs,28.60,8.50,31.75,4.11,104.90,10.31,109.20,19.00,6.85,4.36,129.00,131.10,40.50,133.40,10.96,10.70,0.21,2009.00,19.70
Chris Summers,WR,25.30,77.00,213 lbs,29.10,-,32.75,4.48,101.70,9.82,98.60,-,7.37,4.62,121.00,-,31.00,113.20,11.85,15.80,0.34,2009.00,20.20
Chris Thompson,WR,23.80,71.00,171 lbs,24.30,9.25,31.13,4.25,91.20,9.89,79.00,6.00,7.00,4.53,121.00,89.10,34.50,119.20,11.25,9.60,0.01,-,-
Chris Williams,WR,26.60,68.00,175 lbs,30.90,-,-,4.15,94.80,10.04,92.70,13.00,6.84,4.33,127.00,116.50,39.00,129.80,10.99,14.80,0.39,2006.00,19.00
Christian Kirk,WR,28.80,70.00,201 lbs,21.70,9.88,30.38,4.45,97.80,9.78,96.60,20.00,7.09,4.47,115.00,111.00,35.50,117.90,11.54,12.90,0.37,2015.00,18.80
Christion Jones,WR,26.10,70.00,182 lbs,25.60,9.00,30.00,4.19,91.50,9.75,76.00,8.00,6.91,4.63,119.00,88.80,32.50,114.80,11.10,9.70,0.05,2012.00,19.70
Chuck Jacobs,WR,24.10,72.00,178 lbs,28.20,8.50,30.75,4.06,94.60,10.06,81.90,10.00,6.88,4.55,124.00,102.30,36.00,123.20,10.94,14.80,0.18,-,-
Clyde Gates,WR,25.80,72.00,190 lbs,32.20,9.25,30.50,4.17,101.40,10.22,102.80,16.00,6.87,4.37,131.00,121.70,40.00,133.50,11.04,17.90,0.32,2009.00,23.20
Cobi Hamilton,WR,27.20,74.00,212 lbs,27.70,8.75,32.50,4.31,99.60,9.81,99.40,11.00,7.09,4.56,107.00,92.10,29.50,103.70,11.40,14.80,0.29,2012.00,21.80
Cody Core,WR,25.60,75.00,205 lbs,24.30,10.38,32.00,4.40,101.80,9.98,105.50,14.00,6.75,4.47,119.00,98.70,31.50,113.10,11.15,15.50,0.17,2014.00,20.40
Cody Hoffman,WR,27.10,76.00,223 lbs,27.40,9.75,33.25,4.20,102.50,9.89,99.30,13.00,6.89,4.65,108.00,94.30,27.50,100.80,11.09,13.80,0.37,2010.00,19.50
Cody Hollister,WR,26.70,75.00,214 lbs,24.70,9.63,31.75,-,-,-,-,24.00,-,-,-,-,-,-,-,12.30,0.04,-,-
Cody Latimer,WR,27.60,74.00,215 lbs,25.80,9.63,32.63,-,-,-,112.20,23.00,-,4.44,124.00,-,39.00,128.40,-,15.20,0.27,2012.00,19.90
Colby Pearson,WR,26.30,72.00,194 lbs,23.60,9.38,31.38,4.35,97.20,9.86,89.30,12.00,6.94,4.55,122.00,94.60,33.50,118.00,11.29,10.10,0.21,2016.00,21.60
Cole Beasley,WR,26.90,68.00,177 lbs,29.30,-,28.88,4.40,91.30,9.72,77.60,17.00,7.16,4.54,126.00,103.60,38.00,127.60,11.56,12.10,0.22,2010.00,21.40
Colin Lockett,WR,26.20,71.00,188 lbs,27.30,8.50,30.13,4.13,94.70,9.88,88.40,13.00,6.83,4.51,115.00,102.90,32.50,112.80,10.96,15.40,0.29,2011.00,20.40
Cooper Kupp,WR,26.20,74.00,204 lbs,25.10,9.50,31.50,4.08,99.40,9.98,90.80,-,6.75,4.62,116.00,-,31.00,110.70,10.83,14.50,0.40,2013.00,20.20
Cordarrelle Patterson,WR,27.70,74.00,216 lbs,27.40,9.00,31.75,4.40,106.30,10.02,114.70,-,7.28,4.42,128.00,-,37.00,126.90,11.68,16.90,0.17,-,-
Corey Brown,WR,24.80,71.00,178 lbs,27.50,9.38,31.75,4.22,92.30,9.84,83.70,13.00,7.16,4.51,116.00,98.80,33.00,114.10,11.38,10.50,0.27,2012.00,21.60
Corey Coleman,WR,27.10,71.00,194 lbs,24.10,9.00,30.25,3.95,102.00,10.29,98.90,17.00,6.75,4.42,129.00,130.00,40.50,133.40,10.70,18.40,0.44,2014.00,20.20
Corey Davis,WR,26.10,75.00,209 lbs,23.60,9.13,33.00,-,-,-,102.00,-,-,4.53,-,-,-,-,-,16.80,0.52,2013.00,18.70
Corey Fuller,WR,26.20,74.00,204 lbs,28.10,9.50,33.25,4.48,101.10,9.87,107.40,12.00,7.17,4.43,120.00,95.30,31.50,113.60,11.65,19.00,0.31,2012.00,22.20
Corey Smith,WR,24.80,72.00,183 lbs,25.40,9.13,30.63,4.23,91.40,9.78,70.30,-,7.28,4.76,117.00,-,35.00,118.00,11.51,9.20,0.03,-,-
Corey Washington,WR,26.00,76.00,214 lbs,26.60,9.25,33.00,4.42,105.10,10.05,104.00,14.00,6.83,4.55,125.00,97.80,33.00,118.60,11.25,19.10,0.48,2012.00,20.70
Corey Willis,WR,26.10,70.00,182 lbs,23.30,9.13,29.50,4.13,92.40,9.80,78.00,-,6.85,4.60,123.00,-,33.00,117.60,10.98,13.20,0.35,2016.00,21.40
Courtland Sutton,WR,27.20,75.00,218 lbs,22.80,9.75,32.38,4.11,107.60,10.27,105.40,18.00,6.57,4.54,124.00,118.00,35.50,122.40,10.68,16.20,0.37,2015.00,19.90
Courtney Roby,WR,25.60,72.00,189 lbs,35.60,9.63,31.38,3.94,101.00,10.29,103.20,-,6.60,4.36,126.00,-,36.50,125.10,10.54,14.70,0.47,2002.00,19.70
Curtis Samuel,WR,27.30,71.00,196 lbs,22.00,9.50,31.25,4.33,100.40,10.01,110.50,18.00,7.09,4.31,119.00,119.90,37.00,122.40,11.42,11.70,0.29,2016.00,20.10
Cyril Grayson,WR,27.00,69.00,183 lbs,24.70,-,-,-,-,-,94.00,-,-,4.38,127.00,-,-,-,-,-,-,-,-
D'haquille Williams,WR,29.40,74.00,229 lbs,26.20,9.25,32.50,4.47,102.20,9.62,93.50,14.00,7.43,4.72,121.00,88.90,30.00,111.50,11.90,14.20,0.19,2014.00,22.30
D.J. Chark,WR,24.90,75.00,199 lbs,21.90,9.25,32.38,-,-,-,115.30,16.00,-,4.34,129.00,-,40.00,132.50,-,21.90,0.25,2016.00,20.00
D.J. Coles,WR,28.10,75.00,225 lbs,28.90,10.00,33.25,4.24,107.40,10.05,109.80,19.00,7.17,4.53,123.00,114.90,34.00,119.30,11.41,15.50,0.26,2013.00,23.90
D.J. Moore,WR,28.50,72.00,210 lbs,21.30,9.63,31.63,4.07,106.60,10.24,108.50,15.00,6.95,4.42,132.00,123.80,39.50,133.20,11.02,12.90,0.53,2015.00,18.40
Da'Rick Rogers,WR,27.90,74.00,217 lbs,27.10,9.50,32.75,4.06,109.40,10.38,105.40,10.00,6.71,4.52,132.00,113.70,39.50,133.20,10.77,14.60,0.43,2011.00,20.20
Da'Ron Brown,WR,27.80,72.00,205 lbs,26.90,10.25,32.00,4.11,101.70,10.08,95.20,17.00,7.04,4.54,120.00,116.20,37.00,122.90,11.15,15.70,0.36,2013.00,22.00
DaVaris Daniels,WR,26.50,73.00,201 lbs,25.60,9.00,31.25,4.32,100.20,10.04,88.20,13.00,6.81,4.62,122.00,99.40,37.00,123.90,11.13,15.20,0.24,2012.00,19.70
DaeSean Hamilton,WR,26.80,73.00,203 lbs,23.40,9.38,31.00,4.15,100.10,10.02,93.10,16.00,6.84,4.57,118.00,108.90,34.50,117.70,10.99,16.20,0.25,2014.00,19.50
Daikiel Shorts,WR,26.60,72.00,196 lbs,23.80,9.25,31.00,4.29,96.10,9.77,82.70,16.00,7.15,4.65,124.00,98.30,33.00,118.10,11.44,14.20,0.23,2016.00,21.90
Damaris Johnson,WR,26.60,68.00,175 lbs,28.70,-,27.38,4.20,87.10,9.55,74.70,13.00,6.80,4.57,113.00,93.10,30.00,107.50,11.00,15.30,0.23,2008.00,18.80
Damarr Aultman,WR,27.60,71.00,198 lbs,26.60,9.50,30.13,3.94,101.90,10.27,91.50,20.00,6.65,4.53,128.00,131.20,40.50,132.90,10.59,10.40,0.23,2012.00,20.60
Damian Copeland,WR,25.70,71.00,184 lbs,27.80,9.00,31.38,3.90,98.60,10.36,87.30,12.00,6.53,4.50,120.00,119.00,40.00,128.00,10.43,13.40,0.17,-,-
Damian Williams,WR,26.30,73.00,199 lbs,30.20,9.25,31.75,4.24,101.20,10.16,95.40,19.00,6.79,4.52,118.00,116.10,38.00,123.60,11.03,14.40,0.37,2008.00,20.30
Damiere Byrd,WR,23.90,69.00,162 lbs,25.50,8.00,29.88,4.09,93.80,10.28,87.90,13.00,6.59,4.32,131.00,120.70,42.00,136.90,10.68,16.40,0.13,2013.00,20.60
Damion Ratley,WR,25.20,74.00,196 lbs,23.30,9.50,31.00,4.23,101.80,10.17,102.20,12.00,6.92,4.44,124.00,108.90,38.00,126.60,11.15,23.10,0.24,2017.00,22.40
Damond Powell,WR,24.80,71.00,178 lbs,25.80,8.88,30.38,4.38,95.50,10.06,89.10,-,6.40,4.44,123.00,-,36.50,123.60,10.78,16.70,0.12,-,-
Damore'ea Stringfellow,WR,28.00,74.00,218 lbs,23.80,10.63,33.25,4.50,104.60,9.94,94.50,17.00,7.20,4.65,130.00,100.30,36.00,126.20,11.70,15.60,0.21,2016.00,21.90
Dan Arnold,WR,26.30,77.00,222 lbs,23.40,9.63,32.13,4.30,108.60,10.29,97.60,12.00,6.81,4.68,127.00,102.50,39.50,130.70,11.11,18.10,0.38,2015.00,20.50
Danario Alexander,WR,26.20,77.00,221 lbs,30.00,10.00,34.75,-,-,-,102.30,-,-,4.62,-,-,-,-,-,15.80,0.51,2009.00,21.10
Dane Sanzenbacher,WR,25.10,71.00,180 lbs,29.80,8.25,30.50,3.97,93.80,10.05,78.90,-,6.46,4.59,118.00,-,33.50,116.00,10.43,17.20,0.34,2009.00,20.90
Daniel Braverman,WR,25.10,70.00,175 lbs,24.90,9.13,28.75,4.16,87.80,9.61,76.30,10.00,6.88,4.58,112.00,88.20,28.50,104.50,11.04,12.70,0.40,2013.00,19.90
Daniel Williams,WR,30.00,74.00,234 lbs,23.00,9.50,32.50,4.46,107.20,9.86,109.70,17.00,7.44,4.56,121.00,106.20,35.00,120.00,11.90,12.70,0.37,2014.00,19.10
Danny Amendola,WR,26.70,70.00,186 lbs,32.80,-,-,4.25,89.00,9.57,74.40,13.00,6.81,4.68,103.00,85.90,27.50,98.30,11.06,11.40,0.16,-,-
Danny Coale,WR,25.80,72.00,190 lbs,30.10,9.13,30.63,4.09,97.40,10.09,91.40,12.00,6.64,4.50,115.00,106.60,35.00,117.00,10.73,15.10,0.21,2009.00,21.20
Dante Pettis,WR,24.50,73.00,186 lbs,22.80,9.50,32.25,-,-,-,-,-,-,-,-,-,-,-,-,13.80,0.39,2016.00,20.90
Darius Davis,WR,29.60,71.00,212 lbs,28.40,9.38,30.63,4.41,101.00,9.82,92.10,17.00,7.28,4.60,125.00,105.70,37.50,126.30,11.69,22.50,0.39,2013.00,23.50
Darius Jennings,WR,24.20,70.00,169 lbs,26.10,8.38,28.50,4.29,90.20,9.85,77.60,-,6.95,4.52,123.00,-,37.00,124.40,11.24,14.10,0.19,2013.00,21.20
Darius Johnson,WR,26.40,69.00,179 lbs,27.50,9.13,30.25,4.53,88.10,9.49,75.60,6.00,7.29,4.60,109.00,76.30,32.00,108.90,11.82,12.30,0.36,2010.00,19.50
Darius Powe,WR,27.50,75.00,220 lbs,24.40,9.13,31.63,4.29,105.50,10.04,106.40,17.00,6.94,4.54,120.00,109.30,34.50,118.70,11.23,11.90,0.15,-,-
Darren Andrews,WR,28.30,70.00,197 lbs,23.00,9.13,29.75,-,-,-,-,19.00,-,-,-,-,-,-,-,12.90,0.36,2017.00,22.10
Darren Carrington,WR,25.50,74.00,199 lbs,23.80,10.38,32.75,4.51,97.20,9.91,74.10,9.00,6.96,4.83,120.00,80.30,36.00,121.20,11.47,14.00,0.34,2015.00,20.90
Darreus Rogers,WR,28.50,73.00,216 lbs,24.90,10.13,32.00,4.54,94.10,9.38,72.50,8.00,7.22,4.94,112.00,66.60,26.50,101.10,11.76,12.40,0.16,-,-
Darrius Heyward-Bey,WR,27.00,74.00,210 lbs,31.50,9.00,33.63,4.18,109.10,10.39,124.50,16.00,6.80,4.30,126.00,126.20,38.50,128.50,10.98,14.50,0.31,2006.00,19.50
Darryl Surgent,WR,26.50,71.00,190 lbs,26.20,9.25,31.75,4.28,98.90,10.08,82.50,8.00,6.87,4.60,133.00,96.40,39.50,133.70,11.15,12.90,0.19,-,-
Daurice Fountain,WR,27.20,73.00,206 lbs,22.60,10.13,34.00,4.29,106.30,10.32,95.30,14.00,7.02,4.56,134.00,111.50,42.50,139.30,11.31,14.30,0.37,2015.00,19.70
Davante Adams,WR,28.00,73.00,212 lbs,25.60,9.00,32.63,4.30,105.30,10.20,98.10,14.00,6.82,4.56,123.00,108.50,39.50,128.70,11.12,13.10,0.41,2012.00,19.70
David Gettis,WR,27.10,75.00,217 lbs,31.00,10.00,34.00,4.41,107.40,10.12,115.80,15.00,6.94,4.43,124.00,107.10,34.50,120.70,11.35,13.00,0.23,2009.00,22.00
David Moore,WR,28.90,73.00,219 lbs,23.60,9.50,30.63,4.38,105.40,9.98,108.70,26.00,6.98,4.48,124.00,127.70,36.50,124.10,11.36,15.40,0.39,2014.00,19.60
David Nelson,WR,25.40,77.00,214 lbs,31.80,-,-,4.13,106.50,10.39,101.70,16.00,6.79,4.59,112.00,114.50,38.00,120.60,10.92,15.30,0.10,-,-
David Reed,WR,25.80,72.00,190 lbs,31.40,9.38,31.75,4.38,96.60,9.98,86.70,15.00,6.95,4.56,114.00,101.20,37.00,119.90,11.33,14.70,0.33,2009.00,22.50
David Richards,WR,25.60,75.00,205 lbs,25.30,9.38,31.50,4.39,-,-,84.20,13.00,-,4.73,122.00,89.20,33.00,117.10,-,12.70,0.19,-,-
Davon Grayson,WR,26.30,73.00,199 lbs,22.90,9.38,31.38,4.40,99.40,9.88,96.20,19.00,7.14,4.51,124.00,107.40,34.50,120.70,11.54,15.00,0.25,2017.00,22.00
Davonte Allen,WR,27.40,73.00,208 lbs,25.40,8.50,32.38,4.44,103.60,10.10,91.30,15.00,6.81,4.62,128.00,102.30,39.00,130.30,11.25,12.30,0.22,2015.00,22.50
De'Anthony Thomas,WR,25.70,69.00,174 lbs,25.60,8.13,29.88,4.21,90.70,9.75,80.20,8.00,6.83,4.50,124.00,91.50,32.00,116.40,11.04,-,-,-,-
De'Mornay Pierson-El,WR,28.60,69.00,194 lbs,22.60,9.63,30.88,4.28,96.00,9.87,80.50,14.00,6.98,4.62,120.00,101.70,37.50,123.80,11.26,13.80,0.20,2017.00,21.70
De'Runnya Wilson,WR,26.60,77.00,224 lbs,23.90,9.25,33.88,4.52,100.40,9.71,85.40,13.00,7.16,4.85,113.00,78.80,28.00,104.10,11.68,15.30,0.26,2014.00,20.00
DeAndre Carter,WR,28.10,68.00,185 lbs,25.30,8.75,30.63,3.80,97.20,10.19,84.80,17.00,6.64,4.49,126.00,129.40,38.50,128.50,10.44,13.30,0.43,2013.00,20.40
DeAndre Hopkins,WR,28.20,73.00,214 lbs,26.20,10.00,33.38,4.50,103.40,10.02,98.10,15.00,6.83,4.57,115.00,99.90,36.00,118.70,11.33,17.10,0.39,2010.00,18.20
DeAndre Reaves,WR,25.70,70.00,179 lbs,26.30,8.00,29.38,4.38,90.00,9.63,78.00,10.00,7.01,4.58,117.00,85.80,32.00,112.90,11.39,12.60,0.20,-,-
DeAndre Smelter,WR,29.00,74.00,226 lbs,26.70,11.00,32.63,-,-,-,105.00,-,-,4.57,110.00,-,32.00,109.40,-,20.40,0.44,2014.00,22.80
DeAndrew White,WR,26.90,71.00,193 lbs,26.80,9.13,31.00,4.18,97.70,9.95,96.60,13.00,6.97,4.44,118.00,107.40,34.50,117.70,11.15,12.60,0.15,-,-
DeAngelo Yancey,WR,28.20,74.00,220 lbs,23.70,9.75,32.88,4.27,106.00,10.10,101.40,21.00,6.84,4.58,121.00,116.50,35.50,120.90,11.11,19.40,0.33,2013.00,18.80
DeMario Bennett,WR,23.20,74.00,181 lbs,28.90,7.88,33.88,4.52,96.40,10.02,87.10,-,6.93,4.53,123.00,84.30,35.00,121.00,11.45,16.70,0.21,2012.00,23.20
DeSean Jackson,WR,25.10,70.00,175 lbs,31.70,9.38,31.25,4.19,94.10,9.99,93.70,-,6.82,4.35,120.00,-,34.50,118.70,11.01,14.90,0.32,2005.00,18.80
DeVante Parker,WR,26.10,75.00,209 lbs,25.50,9.25,33.25,-,-,-,109.50,17.00,-,4.45,125.00,-,36.50,124.60,-,19.90,0.46,2012.00,19.60
DeVier Posey,WR,27.00,74.00,210 lbs,28.40,9.63,31.63,4.15,104.30,10.13,103.80,14.00,7.03,4.50,123.00,112.20,36.50,123.60,11.18,16.00,0.25,2009.00,19.50
Deante Burton,WR,25.70,74.00,200 lbs,24.10,9.13,31.63,4.07,98.20,10.27,94.70,-,6.75,4.58,130.00,105.40,38.00,129.60,10.82,13.70,0.20,2015.00,21.20
Deante' Gray,WR,28.00,68.00,184 lbs,24.40,7.88,30.25,4.28,92.00,9.68,85.10,12.00,7.01,4.48,115.00,97.20,32.50,112.80,11.29,14.00,0.11,2014.00,20.50
Dede Westbrook,WR,24.10,72.00,178 lbs,24.70,9.00,30.63,4.34,93.50,9.85,90.30,8.00,7.20,4.44,120.00,93.50,34.50,118.70,11.54,19.10,0.38,2016.00,22.80
Demarcus Ayers,WR,26.90,69.00,182 lbs,24.10,9.25,31.25,4.33,90.80,9.66,69.30,-,7.00,4.72,123.00,-,33.00,117.60,11.33,12.50,0.31,2015.00,21.20
Demarcus Robinson,WR,26.80,73.00,203 lbs,23.90,9.50,33.00,4.19,101.40,10.08,91.50,9.00,6.77,4.59,123.00,97.00,34.50,120.20,10.96,13.10,0.27,2014.00,20.00
Demaryius Thomas,WR,28.60,75.00,229 lbs,30.60,10.50,33.00,-,-,-,124.40,-,-,4.41,-,-,-,-,-,25.10,0.71,2007.00,19.70
Denarius Moore,WR,26.30,72.00,194 lbs,29.70,9.50,33.00,4.15,100.30,10.16,97.60,13.00,6.78,4.45,118.00,109.90,36.00,120.20,10.93,20.90,0.32,2008.00,19.70
Dennis Parks,WR,26.50,73.00,201 lbs,24.00,8.88,33.63,4.48,97.40,9.73,85.20,10.00,7.44,4.66,122.00,83.80,32.50,116.30,11.92,15.10,0.22,2015.00,21.10
Deon Cain,WR,25.90,74.00,202 lbs,22.00,8.75,33.00,4.37,102.00,10.08,106.30,11.00,6.71,4.43,115.00,99.10,33.50,114.50,11.08,12.70,0.27,2017.00,21.10
Deon Long,WR,26.00,72.00,192 lbs,27.20,9.50,31.00,4.27,97.00,9.90,91.50,12.00,6.98,4.51,120.00,99.10,34.00,117.80,11.25,11.30,0.31,2011.00,20.20
Deon-Tay McManus,WR,30.60,72.00,226 lbs,24.50,9.25,29.75,4.41,102.00,9.68,100.40,20.00,7.38,4.59,116.00,109.10,34.00,115.80,11.79,11.30,0.14,-,-
Deontay Burnett,WR,25.20,72.00,186 lbs,20.80,8.63,31.50,-,-,-,72.10,-,-,4.75,121.00,-,30.50,112.40,-,13.00,0.31,2017.00,19.90
Deonte Greenberry,WR,27.80,73.00,211 lbs,24.40,9.50,31.25,4.31,101.30,9.91,98.50,21.00,7.23,4.55,116.00,115.00,35.50,118.40,11.54,13.10,0.34,2013.00,19.50
Deonte Thompson,WR,27.50,72.00,203 lbs,29.50,-,32.50,4.40,103.30,10.06,110.80,20.00,6.96,4.36,125.00,119.10,36.50,124.60,11.36,15.00,0.13,-,-
Derel Walker,WR,24.80,73.00,188 lbs,27.10,9.00,32.25,4.36,97.00,10.04,77.10,12.00,6.82,4.70,126.00,92.50,37.50,126.80,11.18,16.00,0.15,-,-
Derrick Johnson,WR,26.50,71.00,190 lbs,27.10,9.50,31.13,4.20,96.80,9.96,88.50,12.00,6.60,4.52,122.00,99.50,33.00,117.10,10.80,10.10,0.13,-,-
Derrick Willies,WR,25.20,76.00,207 lbs,23.80,9.75,33.00,4.01,107.60,10.48,96.30,15.00,6.84,4.60,134.00,119.50,41.00,136.70,10.85,16.90,0.15,-,-
Devante Davis,WR,27.50,75.00,220 lbs,25.80,9.50,32.38,4.12,105.00,10.09,103.60,16.00,7.25,4.57,115.00,113.70,35.50,117.90,11.37,16.20,0.41,2012.00,19.90
Devin Fuller,WR,26.30,72.00,194 lbs,24.50,9.25,30.75,4.07,99.60,10.06,98.50,-,7.03,4.44,124.00,-,36.00,123.20,11.10,10.90,0.14,-,-
Devin Funchess,WR,28.20,76.00,232 lbs,24.20,9.75,33.50,4.48,110.30,10.19,107.90,17.00,6.98,4.60,122.00,107.80,38.50,126.50,11.46,11.80,0.41,2013.00,19.30
Devin Hester,WR,26.50,71.00,190 lbs,35.80,-,-,4.20,99.50,10.13,97.70,16.00,6.78,4.41,124.00,116.40,38.00,126.60,10.98,-,0.01,-,-
Devin Lucien,WR,29.30,73.00,222 lbs,25.10,10.13,31.88,4.30,104.80,9.98,104.50,13.00,6.93,4.54,117.00,103.50,34.50,117.20,11.23,16.30,0.27,2015.00,22.20
Devin Ross,WR,28.40,69.00,192 lbs,23.00,9.25,30.88,4.23,95.70,9.83,83.20,16.00,6.94,4.57,123.00,105.10,35.00,121.00,11.17,11.70,0.18,2016.00,21.10
Devin Smith,WR,26.60,72.00,196 lbs,26.40,9.00,31.00,4.15,101.50,10.20,101.30,10.00,6.83,4.42,122.00,111.10,39.00,127.30,10.98,28.20,0.27,2012.00,20.50
Devin Street,WR,24.70,75.00,198 lbs,27.40,9.25,33.38,4.01,102.90,10.31,94.90,13.00,6.89,4.55,124.00,112.50,37.00,124.90,10.90,16.70,0.39,2011.00,20.40
Devon Wylie,WR,27.50,69.00,186 lbs,29.90,9.50,30.25,4.16,97.50,10.08,94.70,17.00,6.82,4.39,123.00,120.60,39.00,127.80,10.98,12.80,0.17,2009.00,21.00
Devonte Boyd,WR,25.50,73.00,193 lbs,23.80,10.00,31.25,4.45,96.40,9.85,83.30,18.00,6.98,4.64,122.00,98.10,34.50,119.70,11.43,17.30,0.33,2014.00,19.90
Dez Bryant,WR,28.20,74.00,220 lbs,29.80,9.75,34.00,4.46,107.90,10.11,102.30,14.00,7.10,4.57,133.00,102.80,38.00,131.10,11.56,17.00,0.63,2007.00,18.80
Dezmin Lewis,WR,26.00,76.00,214 lbs,25.70,9.88,32.50,4.28,103.70,10.02,101.30,16.00,7.11,4.58,119.00,104.50,33.50,116.50,11.39,14.80,0.28,2012.00,19.80
Dom Williams,WR,25.40,74.00,198 lbs,25.70,9.00,32.00,4.28,103.30,10.25,102.40,11.00,7.04,4.45,125.00,108.70,40.50,131.40,11.32,13.90,0.24,2015.00,22.70
Domenik Hixon,WR,25.30,74.00,197 lbs,33.80,-,-,-,-,-,102.80,-,-,4.44,-,-,-,-,-,16.10,0.34,2005.00,20.90
Domonique Young,WR,28.10,74.00,219 lbs,23.80,10.50,33.75,-,-,-,-,-,-,-,-,-,-,-,-,11.70,0.14,-,-
Donnie Avery,WR,25.50,71.00,183 lbs,34.20,9.75,30.25,3.91,98.70,10.31,92.40,16.00,6.30,4.43,126.00,124.60,37.50,126.80,10.21,16.00,0.35,2005.00,21.20
Donte Foster,WR,25.50,73.00,193 lbs,27.70,9.00,31.75,4.30,102.20,10.29,92.50,14.00,6.79,4.52,130.00,110.20,42.00,136.40,11.09,14.80,0.32,2012.00,21.80
Donte Moncrief,WR,28.40,74.00,221 lbs,25.00,9.13,32.38,4.30,110.30,10.24,119.50,13.00,7.02,4.40,132.00,115.50,39.50,133.20,11.32,15.90,0.32,2011.00,18.10
Donteea Dye,WR,26.40,72.00,195 lbs,25.00,9.25,30.50,4.22,98.80,9.99,93.80,17.00,7.02,4.50,123.00,111.90,36.50,123.60,11.24,17.90,0.43,2012.00,19.00
Dontez Ford,WR,28.00,73.00,212 lbs,24.50,9.75,33.38,4.47,103.50,9.98,93.90,16.00,6.98,4.61,127.00,100.40,36.00,124.70,11.45,18.20,0.14,-,-
Dontre Wilson,WR,26.30,70.00,183 lbs,23.60,8.50,30.63,4.10,91.60,9.81,76.40,-,6.96,4.63,112.00,-,33.00,112.10,11.06,13.00,0.19,-,-
Dontrelle Inman,WR,25.60,75.00,205 lbs,29.50,-,-,4.13,103.50,10.23,100.90,11.00,6.53,4.52,118.00,104.00,34.00,116.80,10.66,16.00,0.21,2010.00,21.60
Dorial Green-Beckham,WR,28.10,77.00,237 lbs,25.30,9.00,32.50,4.45,110.80,10.08,123.00,13.00,6.89,4.49,119.00,102.20,33.50,116.50,11.34,15.00,0.32,2013.00,20.40
Doug Baldwin,WR,27.10,70.00,189 lbs,29.90,-,27.00,4.26,95.40,9.90,86.10,6.00,6.56,4.53,123.00,94.50,37.00,124.40,10.82,14.80,0.27,2008.00,20.00
Douglas McNeil,WR,25.00,75.00,200 lbs,30.10,-,-,-,-,-,86.40,-,-,4.67,-,-,-,-,-,19.60,0.47,2010.00,22.10
Dres Anderson,WR,24.70,73.00,187 lbs,26.10,9.38,31.63,4.22,97.50,10.12,85.00,13.00,6.83,4.58,121.00,102.60,37.50,124.30,11.05,18.90,0.33,2013.00,21.10
Drew Davis,WR,27.00,73.00,205 lbs,29.60,-,-,4.21,99.80,9.92,91.60,15.00,7.03,4.60,120.00,102.60,33.00,116.10,11.24,11.20,0.13,-,-
Drew Morgan,WR,25.80,72.00,190 lbs,23.70,9.50,30.38,4.12,92.20,9.75,74.20,10.00,6.85,4.74,112.00,87.80,30.00,107.00,10.97,12.40,0.22,2015.00,20.80
Duron Carter,WR,25.00,76.00,205 lbs,27.40,9.63,32.50,4.47,101.30,9.96,92.90,-,6.90,4.63,124.00,-,33.00,118.10,11.37,13.50,0.07,-,-
Durron Neal,WR,27.80,71.00,199 lbs,24.80,9.25,30.50,4.46,95.80,9.63,87.20,13.00,7.22,4.59,121.00,90.80,32.50,115.80,11.68,12.50,0.15,-,-
Dwayne Bowe,WR,28.40,74.00,221 lbs,33.90,9.88,33.63,4.35,106.80,10.04,108.30,-,6.81,4.51,125.00,-,33.00,118.60,11.16,15.20,0.35,2005.00,21.00
Dwayne Harris,WR,28.70,70.00,200 lbs,30.90,10.13,31.13,4.21,97.30,9.90,89.50,10.00,6.77,4.55,111.00,98.00,34.00,113.30,10.98,11.10,0.33,2009.00,22.00
Dwayne Stanford,WR,26.60,75.00,213 lbs,24.90,10.63,33.50,-,-,-,-,17.00,-,-,-,-,-,-,-,14.20,0.10,-,-
Dylan Cantrell,WR,28.20,75.00,226 lbs,24.10,9.25,31.38,4.03,110.40,10.35,104.60,18.00,6.56,4.59,130.00,123.70,38.50,130.50,10.59,11.50,0.19,2016.00,22.20
Earl Bennett,WR,28.40,71.00,204 lbs,31.40,9.63,32.25,4.22,98.60,9.85,98.50,15.00,7.15,4.48,110.00,106.50,32.50,110.30,11.37,11.10,0.38,2005.00,18.50
Ed Eagan,WR,27.50,70.00,192 lbs,25.10,9.38,28.88,4.13,94.40,9.77,85.20,6.00,7.09,4.56,118.00,94.60,34.00,116.80,11.22,12.80,0.32,2014.00,21.20
Ed Williams,WR,26.60,72.00,196 lbs,27.40,-,31.88,-,-,-,87.90,-,-,4.58,121.00,-,35.00,120.00,-,23.00,0.31,2013.00,22.50
Eddie Royal,WR,26.50,70.00,185 lbs,32.20,8.63,31.00,4.34,96.30,9.90,95.50,24.00,7.07,4.39,124.00,123.30,36.00,123.20,11.41,15.00,0.22,2006.00,20.30
