"Full Name",Position,"Breakout Age","Breakout Year","College Dominator Rating","College YPR"
"A.J. Brown",WR,20.2,2017,32.6%,16.1
"A.J. Green",WR,20.1,2008,42.2%,14.9
"A.J. Jenkins",WR,20.9,2010,55.2%,14.2
"A.J. Richardson",WR,-,2018,23.8%,15.3
"Aaron Burbridge",WR,21.7,2015,32.6%,14.8
"Aaron Dobson",WR,18.1,2009,26.1%,11.9
"Aaron Mellette",WR,20.7,2010,54.8%,14.5
"Ace Sanders",WR,20.8,2012,24.1%,11.8
"Adam Humphries",WR,-,-,9.4%,6.8
"Adam Thielen",WR,20.0,2010,45.9%,15.9
"Adrian Coxson",WR,21.1,2013,45.2%,15.4
"Ahmad Fulwood",WR,-,-,6.2%,11.7
"Alan Bonner",WR,20.8,2011,37.6%,17.2
"Albert Wilson",WR,20.2,2012,59.9%,16.6
"Aldrick Robinson",WR,19.8,2008,40.2%,20.0
"Alex Bachman",WR,22.3,2018,20.0%,14.2
"Alex Erickson",WR,21.8,2014,27.9%,13.4
"Alex Neutz",WR,19.5,2010,49.7%,16.8
"Alex Wesley",WR,-,2017,34.6%,18.4
"Alexander Hollins",WR,-,2017,49.9%,14.3
"Allen Hurns",WR,19.8,2011,28.8%,18.7
"Allen Lazard",WR,19.7,2015,33.1%,13.8
"Allen Robinson",WR,19.0,2012,37.9%,14.8
"Allenzae Staggers",WR,-,2016,23.2%,14.6
"Alonzo Moore",WR,23.8,2016,23.0%,18.8
"Alonzo Russell",WR,19.9,2012,25.5%,14.8
"Alshon Jeffery",WR,19.6,2009,39.7%,16.4
"Amara Darboh",WR,20.6,2014,33.1%,15.1
"Amari Cooper",WR,18.2,2012,47.2%,13.9
"Amba Etta-Tawo",WR,22.8,2016,48.4%,15.8
"Anas Hasic",WR,-,2014,23.2%,15.2
"Andre Caldwell",WR,22.4,2007,28.2%,13.6
"Andre Davis",WR,20.0,2013,38.5%,15.8
"Andre Debose",WR,21.0,2011,12.1%,18.5
"Andre Holmes",WR,21.2,2009,41.9%,13.2
"Andre Johnson",WR,20.2,2001,28.8%,21.0
"Andre Levrone",WR,22.5,2017,24.7%,20.3
"Andre Patton",WR,22.3,2016,36.6%,13.9
"Andre Roberts",WR,18.7,2006,46.1%,10.3
"Andre Wilson",WR,21.7,2017,28.2%,14.5
"Andrew Hawkins",WR,-,-,7.7%,9.3
"Andy Cruse",WR,22.6,2012,21.0%,9.2
