player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Peyton Manning,327,QB,16,IND,583,571,74,25,0,853,10,6,0,13.0,33.8,84.1
Philip Rivers,1725,QB,16,SD,522,486,73,27,0,946,5,3,0,15.0,37.0,90.7
Aaron Rodgers,2241,QB,16,GB,623,541,70,22,0,926,7,3,0,12.9,31.4,95.8
Joe Flacco,4332,QB,16,BLT,550,499,69,22,0,648,8,5,0,13.8,31.9,76.2
Ben Roethlisberger,1732,QB,15,PIT,567,506,68,29,0,1027,9,6,0,13.4,42.6,92.5
Tom Brady,698,QB,16,NE,587,565,68,19,0,715,10,5,0,12.0,27.9,79.8
Jay Cutler,2956,QB,16,CHI,609,555,68,26,0,774,9,5,0,12.3,38.2,90.3
Eli Manning,1722,QB,16,NYG,546,509,67,29,0,871,8,4,0,13.2,43.3,104.9
David Garrard,1109,QB,16,JAX,593,516,63,27,0,855,2,3,0,12.2,42.9,80.6
Donovan McNabb,438,QB,14,PHI,494,443,62,27,0,957,8,3,0,14.0,43.5,109.9
Drew Brees,802,QB,15,NO,539,514,62,33,0,1195,13,6,0,12.1,53.2,98.5
Kyle Orton,2323,QB,16,DEN,581,541,56,23,0,761,4,4,0,10.4,41.1,82.4
Brett Favre,14,QB,16,MIN,566,531,55,22,0,794,7,0,0,10.4,40.0,127.1
Matt Cassel,2447,QB,15,KC,566,494,55,18,0,618,3,6,0,11.1,32.7,54.8
Matt Schaub,1811,QB,16,HST,626,583,52,23,0,900,6,3,0,8.9,44.2,105.4
Jason Campbell,2242,QB,16,WAS,577,507,47,17,0,615,4,3,0,9.3,36.2,86.1
Chad Henne,4371,QB,14,MIA,484,451,47,11,0,366,1,4,0,10.4,23.4,31.2
Mark Sanchez,4928,QB,15,NYJ,406,363,45,14,0,480,4,7,0,12.4,31.1,62.5
Tony Romo,1693,QB,16,DAL,597,550,43,15,0,563,6,2,0,7.8,34.9,103.4
Matthew Stafford,4924,QB,10,DET,415,377,43,10,0,355,5,6,0,11.4,23.3,60.7
Matt Hasselbeck,408,QB,14,SEA,537,488,42,9,0,304,2,4,0,8.6,21.4,33.5
Jake Delhomme,303,QB,11,CAR,350,321,42,11,0,355,2,7,0,13.1,26.2,38.6
Matt Ryan,4317,QB,14,ATL,482,451,40,12,0,373,4,4,0,8.9,30.0,59.7
Vince Young,2948,QB,12,TEN,297,259,39,17,0,494,4,3,0,15.1,43.6,92.6
Alex Smith,2218,QB,11,SF,405,372,38,18,0,590,6,4,0,10.2,47.4,93.6
Kurt Warner,112,QB,15,ARZ,543,514,37,11,0,327,3,5,0,7.2,29.7,51.4
Josh Freeman,4940,QB,10,TB,331,291,37,11,0,327,3,4,0,12.7,29.7,51.4
Brady Quinn,3638,QB,10,CLV,280,256,34,5,0,160,4,4,0,13.3,14.7,46.3
JaMarcus Russell,3617,QB,12,OAK,286,246,34,1,0,57,1,7,0,13.8,2.9,9.8
Carson Palmer,1317,QB,16,CIN,509,466,33,8,0,351,2,5,0,7.1,24.2,52.0
Marc Bulger,684,QB,9,STR,266,247,28,7,0,215,3,1,0,11.3,25.0,79.9
Ryan Fitzpatrick,2467,QB,10,BUF,266,227,28,8,0,359,3,2,0,12.3,28.6,85.1
Bruce Gradkowski,3139,QB,7,OAK,172,150,27,9,0,262,3,1,0,18.0,33.3,91.9
Derek Anderson,2430,QB,8,CLV,194,182,25,7,0,195,1,5,0,13.7,28.0,33.3
Shaun Hill,1255,QB,6,SF,179,155,24,5,0,164,2,1,0,15.5,20.8,66.0
Kerry Collins,115,QB,7,TEN,224,216,22,3,0,109,0,3,0,10.2,13.6,8.1
Trent Edwards,3708,QB,8,BUF,216,183,22,7,0,257,2,3,0,12.0,31.8,68.0
Daunte Culpepper,446,QB,8,DET,182,157,22,2,0,63,1,4,0,14.0,9.1,15.2
Matt Moore,4018,QB,7,CAR,149,138,21,9,0,297,5,0,0,15.2,42.9,129.5
Byron Leftwich,1323,QB,3,TB,111,107,15,5,0,170,1,1,0,14.0,33.3,71.5
Kyle Boller,1335,QB,7,STR,201,176,14,4,0,110,1,1,0,8.0,28.6,53.9
Josh Johnson,4474,QB,5,TB,154,125,11,4,0,128,1,2,0,8.8,36.4,71.6
Seneca Wallace,1422,QB,7,SEA,132,118,10,1,0,20,0,1,0,8.5,10.0,0.0
Keith Null,5120,QB,4,STR,135,119,10,1,0,21,1,2,0,8.4,10.0,33.3
Chris Redman,635,QB,3,ATL,128,119,10,2,0,85,1,2,0,8.4,20.0,56.3
Charlie Frye,2284,QB,3,OAK,95,87,10,3,0,81,0,1,0,11.5,30.0,21.3
Matt Leinart,2955,QB,7,ARZ,79,77,10,2,0,47,0,2,0,13.0,20.0,7.1
Chad Pennington,596,QB,3,MIA,81,74,8,1,0,21,0,1,0,10.8,12.5,0.0
Kevin Kolb,3652,QB,3,PHI,101,96,7,1,0,71,1,1,0,7.3,14.3,69.3
Drew Stanton,3659,QB,3,DET,62,51,6,0,0,0,0,2,0,11.8,0.0,0.0
Brodie Croyle,3030,QB,3,KC,42,39,5,1,0,50,0,0,0,12.8,20.0,68.8
Dennis Dixon,4470,QB,1,PIT,26,26,5,2,0,47,1,0,0,19.2,40.0,114.2
Curtis Painter,5125,QB,2,IND,33,28,4,0,0,0,0,1,0,14.3,0.0,0.0
David Carr,1009,QB,6,NYG,39,33,4,1,0,37,1,0,0,12.1,25.0,105.2
Mark Brunell,51,QB,2,NO,30,29,4,0,0,0,0,0,0,13.8,0.0,39.6
Todd Collins,131,QB,3,WAS,25,23,3,2,0,88,0,0,0,13.0,66.7,109.7
Michael Vick,773,QB,7,PHI,13,11,3,2,0,75,0,0,0,27.3,66.7,109.7
Brian Brohm,4370,QB,1,BUF,31,29,3,0,0,0,0,1,0,10.3,0.0,0.0
