"Full Name",Position,"Bench Press","Speed Score","Vertical Jump","Broad Jump","40-Yard Dash","Agility Score","Burst Score","Breakout Year","Breakout Age","College YPC"
"Josh Robinson",RB,21,88.9,32.0,113,4.70,11.82,110.9,2014,22.0,6.3
"Josh Rounds",RB,12,86.9,28.0,117,4.66,11.54,106.1,2016,22.9,6.1
"Joshuwa Holloman",RB,6,76.3,36.5,120,4.73,12.08,122.1,-,-,0.0
"Justice Hill",RB,21,105.7,40.0,130,4.40,-,133.0,2017,19.8,5.7
"Justin Crawford",RB,11,85.9,33.5,122,4.64,11.52,118.0,2017,22.5,5.5
"Justin Davis",RB,21,89.0,30.0,115,4.65,11.21,108.5,2013,17.8,6.2
"Justin Forsett",RB,26,83.3,31.0,117,4.67,11.42,111.2,2005,19.9,5.1
"Justin Jackson",RB,13,92.5,38.5,122,4.52,10.88,126.5,2014,18.4,4.7
"Justin Stockton",RB,19,98.0,34.5,124,4.50,11.01,120.7,2017,22.2,6.0
"Juwan Thompson",RB,22,100.1,35.5,119,4.62,11.49,119.9,2011,19.3,5.4
"Ka'Deem Carey",RB,19,84.8,32.5,115,4.70,11.46,112.8,2012,19.9,5.9
"Kahlil Bell",RB,15,86.8,34.5,114,4.74,11.07,115.7,2007,20.7,5.6
"Kalen Ballage",RB,15,115.2,33.5,122,4.46,11.26,118.0,2016,20.7,4.3
"Kamryn Pettway",RB,22,93.1,33.5,116,4.74,-,115.0,2016,20.7,4.9
"Kapri Bibbs",RB,24,89.1,29.0,106,4.67,12.11,102.3,2013,20.7,6.2
"Karan Higdon",RB,21,101.4,34.0,123,4.49,-,119.3,2017,21.0,5.7
"Kareem Hunt",RB,18,94.8,36.5,119,4.62,11.75,121.6,2013,18.1,6.8
"Karlos Williams",RB,16,114.2,33.5,117,4.48,11.62,115.5,-,-,5.9
"Keith Ford",RB,19,98.7,39.0,126,4.59,11.50,129.3,2014,20.4,3.9
"Keith Marshall",RB,25,126.9,30.5,-,4.31,11.23,-,-,-,5.8
"Keith Smith",RB,26,75.0,31.0,113,5.03,11.40,109.2,-,-,-
"Kelvin Taylor",RB,15,92.5,32.0,113,4.60,11.43,110.9,2013,19.9,4.0
"Kendall Gaskins",RB,20,93.5,34.0,118,4.75,11.81,116.8,2010,19.8,4.1
"Kendall Hunter",RB,24,94.5,35.0,122,4.53,10.95,120.5,2008,20.0,6.1
"Kenjon Barner",RB,20,93.9,35.5,122,4.52,11.01,121.4,2011,22.4,6.4
"Kenneth Dixon",RB,18,97.7,37.5,121,4.58,11.25,124.3,2012,18.6,5.4
"Kenneth Farrow",RB,23,94.1,38.0,122,4.64,11.09,125.6,2013,20.5,5.4
"Kenny Hilliard",RB,16,83.1,27.0,111,4.83,11.57,101.4,-,-,5.0
"Kenny Young",RB,16,83.3,35.5,121,4.54,11.54,120.9,2017,22.4,5.8
"Kenyan Drake",RB,10,107.1,34.5,123,4.45,11.25,120.2,2013,19.6,6.4
"Kerrith Whyte",RB,21,103.2,42.0,132,4.42,11.57,137.4,2018,21.8,6.5
"Kerryon Johnson",RB,11,97.7,40.0,126,4.57,11.36,131.0,2016,19.2,5.1
"Kerwynn Williams",RB,17,96.8,35.0,118,4.48,11.30,118.5,2012,21.2,6.9
"Keshawn Hill",RB,30,85.6,35.5,115,4.65,11.53,117.9,2014,21.5,5.9
"Khalfani Muhammad",RB,11,90.7,38.5,126,4.40,11.01,128.5,-,-,5.7
"Khalid Hill",RB,21,-,-,-,-,-,-,-,-,1.8
"Khari Blasingame",RB,20,104.1,38.5,131,4.60,11.12,131.0,2016,20.2,4.4
"Khiry Robinson",RB,22,85.7,35.0,121,4.76,11.25,120.0,2011,21.7,6.6
"Knile Davis",RB,31,124.5,33.5,121,4.37,11.34,117.5,2010,18.9,5.4
"Knowshon Moreno",RB,25,92.2,35.5,115,4.62,11.11,117.9,2007,20.1,5.6
"Kory Sheets",RB,15,101.7,37.0,121,4.47,11.57,123.4,2005,20.4,4.8
"Kyle Hicks",RB,13,87.9,36.5,122,4.63,11.32,123.1,2016,20.6,5.1
"Kyle Juszczyk",RB,24,96.6,37.0,121,4.76,11.12,123.4,2012,21.4,-
"L.J. Scott",RB,21,89.2,33.0,120,4.75,11.61,116.1,2015,19.0,3.9
"La'Rod Stephens-Howling",RB,18,93.5,-,-,4.46,-,-,2006,19.4,4.6
"LaDainian Tomlinson",RB,18,108.7,40.5,124,4.46,11.05,130.9,1999,20.2,5.8
"LaDarius Perkins",RB,23,98.6,35.5,124,4.46,11.38,122.4,2012,22.0,5.0
"LaMichael James",RB,15,99.5,35.0,123,4.45,11.00,121.0,2009,19.9,6.6
"Lache Seastrunk",RB,15,97.2,41.5,134,4.51,11.17,137.6,2013,22.1,7.5
"Lamar Miller",RB,-,116.3,33.0,120,4.40,11.02,116.1,2011,20.4,5.6
"Lance Dunbar",RB,11,91.5,35.0,120,4.52,10.94,119.5,2009,19.6,4.9
"Larry Rose",RB,15,96.2,35.5,122,4.47,11.54,121.4,2014,19.0,6.0
"Latavius Murray",RB,22,115.8,36.0,124,4.43,11.17,123.2,2010,20.6,5.6
"Lavon Coleman",RB,23,92.0,33.0,120,4.65,11.51,116.1,-,-,4.9
"Lawrence Thomas",RB,24,93.0,35.0,113,4.98,12.00,116.0,-,-,-
"Le'Veon Bell",RB,24,102.7,31.5,118,4.60,10.99,112.6,2010,18.5,4.7
"LeGarrette Blount",RB,18,98.8,35.0,117,4.70,11.34,118.0,2008,21.8,7.3
"LeSean McCoy",RB,17,97.1,29.0,107,4.55,11.00,102.8,2007,19.2,4.8
"LeShun Daniels",RB,21,103.6,36.0,114,4.55,11.11,118.2,2015,20.3,5.0
"Lenard Tillery",RB,16,86.2,44.0,113,4.63,11.62,131.3,2013,19.7,6.7
"Leonard Fournette",RB,-,116.0,28.5,-,4.51,-,-,2014,19.6,6.5
"Lexington Thomas",RB,8,87.7,34.0,120,4.47,11.22,117.8,2016,20.7,5.6
"Lorenzo Taliaferro",RB,18,104.1,33.0,118,4.58,11.10,115.1,2013,21.7,5.5
"Mack Brown",RB,18,87.4,32.0,115,4.66,11.20,111.9,2013,22.0,4.0
"Madre London",RB,19,89.6,31.5,121,4.68,11.77,114.1,-,-,4.6
"Malcolm Agnew",RB,19,88.7,37.0,129,4.62,10.65,127.4,2013,20.3,6.0
"Malcolm Brown",RB,19,98.3,34.5,117,4.62,11.01,117.2,2013,20.7,4.1
"Malcolm Johnson",RB,19,90.0,32.0,112,4.76,11.57,110.4,-,-,-
"Malik Williams",RB,11,82.0,28.5,111,4.70,11.98,104.0,-,-,7.9
"Marcel Reece",RB,-,120.2,36.5,114,4.47,11.46,119.1,2007,22.2,6.3
"Marcus Cox",RB,13,86.5,30.5,120,4.70,12.08,111.9,2013,19.0,5.8
"Marcus Lattimore",RB,-,101.3,-,-,4.57,-,-,2010,18.9,4.7
"Marcus Murphy",RB,11,85.5,29.0,109,4.61,11.53,103.8,-,-,5.2
"Marion Grice",RB,14,83.8,32.0,115,4.72,11.47,111.9,2012,20.4,5.2
"Mark Ingram",RB,21,94.4,31.5,113,4.62,11.75,110.1,2008,18.7,5.9
"Mark Thompson",RB,16,106.4,35.0,119,4.57,11.69,119.0,-,-,5.1
"Mark Walton",RB,18,90.2,31.5,118,4.60,11.45,112.6,2015,18.4,6.8
"Marlon Mack",RB,15,103.9,35.5,125,4.50,-,122.9,2014,18.5,6.0
"Marquez Williams",RB,28,99.6,34.5,104,4.78,12.24,110.7,-,-,1.0
"Marquis Terry",RB,6,69.9,28.0,111,4.79,11.68,103.1,2017,21.0,5.2
"Marquis Young",RB,20,91.4,36.0,124,4.63,11.73,123.2,2015,-,5.2
"Marshaun Coprich",RB,17,103.7,34.0,112,4.47,11.84,113.8,2013,19.1,6.1
"Marshawn Lynch",RB,20,108.7,35.5,125,4.46,11.67,122.9,2005,19.4,6.1
"Martez Carter",RB,14,93.0,36.0,118,4.61,12.02,120.2,2015,22.5,5.1
"Matt Asiata",RB,22,87.4,30.0,104,4.81,11.46,103.0,2008,21.1,4.7
"Matt Breida",RB,23,100.4,42.0,134,4.44,11.19,138.4,2014,19.5,5.9
"Matt Forte",RB,23,110.2,33.0,118,4.46,11.07,115.1,2005,19.7,5.9
"Matt Jones",RB,20,102.3,31.5,112,4.61,-,109.6,2014,21.5,4.9
"Matthew Dayes",RB,18,83.3,28.0,109,4.71,11.70,102.1,2014,20.0,5.6
"Matthew Tucker",RB,17,105.9,35.5,118,4.55,11.57,119.4,2011,20.3,5.1
"Maurice Jones-Drew",RB,18,112.0,36.0,116,4.39,11.49,119.2,2005,20.5,5.6
"Melvin Gordon",RB,19,103.0,35.0,126,4.52,11.11,122.5,2013,20.4,7.5
"Michael Bush",RB,-,107.6,30.0,-,4.62,-,-,2005,21.2,5.6
"Michael Cox",RB,24,93.1,41.0,127,4.63,10.95,133.2,2012,23.8,3.6
"Michael Dyer",RB,26,99.1,34.0,120,4.58,-,117.8,2011,20.9,4.9
"Michael Ford",RB,25,105.3,38.5,130,4.50,11.12,130.5,-,-,6.0
"Michael Hill",RB,23,89.8,37.5,124,4.65,10.86,125.8,2009,20.1,7.0
"Michael Smith",RB,23,111.4,40.5,126,4.38,11.86,131.9,2008,20.1,7.6
"Mike Boone",RB,25,101.4,42.0,139,4.49,11.33,140.9,2014,19.1,5.3
"Mike Burton",RB,25,95.1,33.0,115,4.74,11.54,113.6,-,-,4.4
"Mike Davis",RB,17,96.1,34.0,116,4.61,11.18,115.8,2013,21.3,5.4
"Mike Gillislee",RB,15,102.2,30.5,119,4.55,11.52,111.4,2012,21.8,4.7
"Mike Goodson",RB,14,99.8,39.5,118,4.54,11.11,126.2,2007,20.3,4.5
"Mike James",RB,28,105.9,35.0,115,4.53,11.27,117.0,2012,21.4,4.2
"Mike Tolbert",RB,-,93.1,-,-,4.78,-,-,2007,21.8,6.7
"Mike Warren",RB,18,93.8,29.5,116,4.60,11.14,108.2,2015,19.7,4.5
"Mike Weber",RB,22,105.7,33.5,-,4.47,11.66,-,2016,19.0,5.8
"Mikel Leshoure",RB,21,105.0,38.0,122,4.59,11.22,125.6,2009,19.4,6.0
"Miles Sanders",RB,20,103.8,36.0,124,4.49,11.08,123.2,2018,21.4,5.8
"Montee Ball",RB,15,94.8,32.0,118,4.61,11.28,113.4,2010,19.8,5.1
"Myles Gaskin",RB,24,93.2,35.5,118,4.58,11.46,119.4,2015,18.6,5.6
"Nick Bawden",RB,-,94.7,-,109,4.77,11.53,-,-,-,-
"Nick Brossette",RB,15,84.2,35.5,118,4.72,11.82,119.4,2018,22.5,4.3
"Nick Chubb",RB,29,108.8,38.5,128,4.52,11.34,129.5,2014,18.7,6.7
"Nick Holley",RB,17,79.7,-,-,4.71,11.15,-,2014,19.8,5.3
"Nick Wilson",RB,14,85.9,29.5,111,4.64,11.48,105.7,2014,18.4,5.3
"Nico Evans",RB,22,88.1,37.0,122,4.61,11.79,123.9,2018,22.3,6.5
"Nyheim Hines",RB,11,107.6,35.5,119,4.38,11.53,119.9,2017,20.8,5.8
"Orleans Darkwa",RB,15,103.9,37.5,124,4.51,11.19,125.8,2010,18.5,4.5
"Patrick DiMarco",RB,20,77.3,29.5,108,4.96,11.55,104.2,-,-,-
"Patrick Laird",RB,-,90.8,34.0,120,4.61,11.04,117.8,2017,22.1,5.1
"Paul Perkins",RB,19,97.9,32.0,124,4.54,-,116.4,2014,19.8,5.7
"Peyton Barber",RB,20,98.4,32.5,111,4.64,11.21,110.8,2015,21.2,4.3
"Peyton Hillis",RB,26,107.9,30.5,117,4.64,11.39,110.4,2005,19.6,5.6
"Phillip Lindsay",RB,14,94.7,35.5,124,4.44,11.43,122.4,2015,21.1,5.0
"Phillip Tanner",RB,-,91.3,36.0,123,4.62,11.58,122.7,2008,20.1,5.8
"Pierre Thomas",RB,21,88.1,35.5,119,4.70,11.43,119.9,2005,20.7,5.8
"Qadree Ollison",RB,19,103.6,29.5,114,4.58,11.84,107.2,2015,19.0,5.8
"Quinton Flowers",RB,-,93.1,-,112,4.63,11.38,-,2015,20.8,6.6
"Ra'Quanne Dickens",RB,16,71.6,34.5,123,4.85,12.31,120.2,2018,-,6.3
"Raheem Mostert",RB,20,97.5,40.0,132,4.42,11.20,134.0,-,-,5.7
"Rajion Neal",RB,-,96.6,38.0,119,4.62,11.53,124.1,2012,20.4,5.2
"Ralph Webb",RB,27,95.1,36.0,122,4.54,11.28,122.2,2014,19.8,4.2
"Rashaad Penny",RB,13,111.2,32.5,120,4.46,-,115.3,2016,20.6,7.8
"Rashad Jennings",RB,29,98.8,34.0,120,4.67,11.06,117.8,2006,21.4,5.8
"Rasheed Williams",RB,-,103.9,-,-,4.51,-,-,2013,-,6.7
"Ray Graham",RB,18,75.0,32.5,112,4.80,11.38,111.3,2010,20.0,4.7
"Ray Lawry",RB,15,94.8,33.5,117,4.56,11.50,115.5,2014,18.0,5.6
"Ray Rice",RB,23,111.1,31.5,119,4.42,10.85,113.1,2005,18.6,5.3
"Raymond Maples",RB,-,90.9,-,-,4.68,-,-,2011,-,6.2
"Reggie Bonnafon",RB,20,96.4,38.0,127,4.58,11.22,128.1,-,-,4.9
"Reggie Bush",RB,24,106.4,40.5,128,4.42,-,132.9,2005,20.5,8.7
"Reggie Gallaspy",RB,15,86.7,33.0,118,4.80,11.88,115.1,-,-,4.4
"Rex Burkhead",RB,21,85.5,39.0,125,4.73,10.94,128.8,2010,20.2,5.3
"Ricky Ortiz",RB,26,77.6,33.5,118,4.95,11.65,116.0,-,-,-
"Rob Kelley",RB,16,90.3,29.5,110,4.73,11.82,105.2,2012,19.9,3.6
"Robert Hughes",RB,26,78.9,32.0,112,4.94,11.92,110.4,-,-,4.7
"Robert Martin",RB,19,89.8,32.0,114,4.65,11.59,111.4,2015,20.0,4.8
"Robert Turbin",RB,28,108.3,36.0,122,4.50,11.47,122.2,2008,18.8,6.1
"Roc Thomas",RB,16,91.6,35.5,125,4.56,11.52,122.9,2016,21.0,6.0
"Rod Smith",RB,-,93.4,-,-,4.69,-,-,-,-,4.8
"Rodney Anderson",RB,25,-,-,-,-,-,-,2017,21.0,8.5
"Ronald Jones",RB,-,97.4,36.5,114,4.53,-,119.1,2015,18.1,5.9
"Ronnie Brown",RB,18,119.4,34.0,117,4.43,11.26,116.3,2002,20.7,5.9
"Ronnie Hillman",RB,17,102.0,37.0,124,4.45,-,124.9,2010,19.0,5.5
"Ronnie Wingo",RB,18,110.7,33.0,117,4.52,12.00,114.6,-,-,5.7
"Roosevelt Nix",RB,22,90.4,28.0,110,4.84,11.36,102.6,-,-,-
"Ross Scheuerman",RB,15,89.6,33.0,121,4.62,11.19,116.6,2011,18.5,5.1
"Roy Finch",RB,22,82.6,33.5,114,4.55,11.32,114.0,-,-,5.5
"Roy Helu",RB,11,114.8,36.5,119,4.42,10.68,121.6,2008,19.7,6.6
"Royce Freeman",RB,17,107.8,34.0,118,4.54,11.06,116.8,2014,18.5,6.0
"Rushel Shell",RB,21,89.9,32.5,-,4.74,11.29,-,2014,21.0,4.5
"Russell Hansbrough",RB,17,80.0,30.5,114,4.68,11.99,108.9,2014,20.8,4.6
"Ryan Fulse",RB,12,85.6,32.5,118,4.65,-,114.3,2017,-,5.4
"Ryan Green",RB,-,97.0,38.0,122,4.46,11.01,125.6,-,-,9.7
"Ryan Hewitt",RB,-,90.7,33.0,109,4.87,11.39,110.6,-,-,2.6
"Ryan Mathews",RB,19,112.2,36.0,121,4.45,11.33,121.7,2007,19.9,6.6
"Ryan Williams",RB,19,91.7,40.0,123,4.61,11.14,129.5,2009,19.4,5.3
"Ryquell Armstead",RB,22,112.2,30.0,114,4.45,11.31,108.0,2016,-,5.2
"Sam McPherson",RB,21,84.9,31.0,111,4.71,11.53,108.2,2018,21.6,7.4
"Sam Rogers",RB,19,79.6,32.0,114,4.93,11.61,111.4,-,-,4.2
"Samaje Perine",RB,30,99.7,33.0,116,4.65,11.63,114.1,2014,19.0,6.0
"Saquon Barkley",RB,29,124.3,41.0,130,4.40,-,134.7,2015,18.6,5.7
"Senorise Perry",RB,18,97.1,37.0,126,4.43,11.32,125.9,2012,21.0,5.0
"Shane Vereen",RB,31,99.0,34.0,115,4.50,11.23,115.3,2009,20.3,5.1
"Shaun Draughn",RB,21,81.9,34.0,118,4.73,11.35,116.8,2010,22.8,4.9
"Shaun Wilson",RB,17,89.4,37.0,119,4.51,11.05,122.4,2017,21.8,5.0
"Shock Linwood",RB,11,77.7,31.0,114,4.77,11.82,109.7,2014,20.9,5.2
"Shonn Greene",RB,19,96.7,37.0,121,4.65,11.50,123.4,2008,23.0,6.0
"Silas Redd",RB,18,86.9,37.0,122,4.70,-,123.9,2011,19.5,5.2
"Sony Michel",RB,22,100.7,-,-,4.54,-,-,2015,20.6,6.7
"Spencer Ware",RB,17,96.3,35.5,119,4.67,11.34,119.9,2011,19.8,4.0
"Squally Canada",RB,21,84.3,28.0,116,4.73,11.44,105.6,2017,21.3,5.2
"Stepfan Taylor",RB,17,83.4,30.0,110,4.76,11.63,106.0,2010,19.2,4.8
"Stephen Houston",RB,24,103.2,40.0,132,4.57,11.30,134.0,2011,19.9,5.5
"Stevan Ridley",RB,18,95.4,36.0,118,4.66,10.99,120.2,2010,21.6,4.6
"Steven Jackson",RB,16,115.1,37.5,118,4.50,11.12,122.8,2002,19.1,4.8
"Steven Miller",RB,15,78.9,43.0,129,4.57,11.13,137.6,2012,21.5,5.7
"Steven Peoples",RB,25,83.3,32.0,116,4.80,11.73,112.4,2017,22.2,5.0
"Storm Johnson",RB,16,93.4,35.5,118,4.60,-,119.4,2013,22.2,5.4
"Synjyn Days",RB,22,94.3,31.0,116,4.71,11.30,110.7,2014,22.9,5.9
"T.J. Logan",RB,17,107.5,33.5,121,4.37,10.88,117.5,2016,22.0,5.4
"T.J. Yeldon",RB,22,100.1,36.0,117,4.61,11.41,119.7,2012,18.9,5.5
"Taiwan Deal",RB,24,-,-,-,-,-,-,2015,-,5.5
"Taiwan Jones",RB,13,106.0,39.5,132,4.38,10.98,133.2,2009,21.1,7.9
"Taquan Mizzell",RB,15,88.0,34.0,114,4.60,11.25,114.8,2015,21.9,4.6
"Tarean Folston",RB,20,74.4,33.5,115,4.81,11.17,114.5,2014,19.7,4.7
"Tarik Cohen",RB,11,93.8,31.5,118,4.42,-,112.6,2013,18.1,7.2
"Tauren Poole",RB,24,98.4,34.0,118,4.54,11.55,116.8,2010,20.9,5.4
"Tavon Austin",RB,14,98.1,32.0,120,4.34,-,114.4,2010,19.5,8.9
"Teriyon Gipson",RB,13,90.4,36.5,120,4.51,11.73,122.1,2014,19.6,8.8
"Terrance Cobb",RB,19,104.5,-,-,4.53,-,-,2010,20.0,5.8
"Terrance West",RB,16,105.9,33.5,120,4.54,11.72,117.0,2011,20.6,6.4
"Terrell Watson",RB,22,111.9,35.5,123,4.56,11.97,121.9,2012,19.0,6.7
"Terrence Magee",RB,22,89.6,37.0,115,4.67,11.89,120.4,-,-,5.1
"Terris Jones-Grigsby",RB,21,80.6,36.0,117,4.69,11.50,119.7,-,-,4.7
"Terron Ward",RB,20,89.0,29.5,107,4.61,11.49,103.7,2014,22.6,5.7
"Terry Swanson",RB,24,96.2,31.5,120,4.56,11.75,113.6,2015,19.1,5.6
"Tevin Coleman",RB,22,106.0,-,-,4.44,-,-,2013,20.4,7.5
"Theo Riddick",RB,14,81.7,32.0,118,4.71,11.31,113.4,2012,21.3,4.8
"Thomas Rawls",RB,15,97.7,35.5,116,4.58,11.47,118.4,2014,21.1,5.3
"Tim Cook",RB,24,100.0,37.0,120,4.69,11.45,122.9,-,-,4.6
"Tim Cornett",RB,15,103.8,34.5,125,4.48,11.27,121.2,2010,18.4,4.9
"Tim Flanders",RB,20,81.3,32.0,113,4.75,11.38,110.9,2010,18.9,5.9
"Tim Hightower",RB,20,97.4,31.5,115,4.61,11.75,111.1,2006,20.3,5.9
"Tion Green",RB,18,80.5,31.5,108,4.84,11.96,107.6,-,-,4.7
"Toby Gerhart",RB,22,112.7,38.0,118,4.50,11.19,123.6,2008,21.4,5.5
"Todd Gurley",RB,17,110.7,-,-,4.50,-,-,2012,18.1,6.7
"Tommy Bohanon",RB,36,86.8,35.0,119,4.88,11.69,119.0,-,-,0.5
"Tony Brooks-James",RB,15,89.4,35.5,127,4.54,11.33,123.9,2016,-,6.5
"Tony Pollard",RB,13,100.6,35.0,121,4.52,11.37,120.0,-,-,7.1
"Tra Carson",RB,19,93.8,37.0,115,4.69,11.37,120.4,2015,22.9,4.8
"Travaris Cadet",RB,16,86.8,33.0,120,4.69,11.18,116.1,2010,21.6,5.1
"Travis Homer",RB,17,99.8,39.5,130,4.48,11.38,132.2,2017,19.1,6.0
"Travon McMillian",RB,22,99.7,32.0,122,4.53,11.68,115.4,2015,19.6,5.0
"Trayveon Williams",RB,19,99.6,33.0,121,4.51,11.88,116.6,2016,18.9,6.5
"Tre Madden",RB,24,98.7,33.5,120,4.61,11.47,117.0,2013,20.1,5.2
"Tre Mason",RB,-,101,38.5,126,4.5,10.85,128.5,2012,19.1,5.7
"Tre Watson",RB,18,76.6,31.5,102,4.75,11.60,104.6,2016,20.5,4.6
"Trent Richardson",RB,25,109.2,-,-,4.53,-,-,2009,18.2,5.9
"Trenton Cannon",RB,17,94.4,38.5,129,4.45,11.06,130.0,2015,21.1,7.2
"Trey Edmunds",RB,-,105.9,35.5,122,4.53,-,121.4,2013,18.7,5.1
"Trey Watts",RB,8,76.4,26.5,110,4.83,11.31,100.1,2011,20.6,5.0
"Trey Williams",RB,18,96.0,33.5,119,4.49,10.96,116.5,-,-,7.0
"Troymaine Pope",RB,25,91.6,35.0,120,4.60,11.08,119.5,2015,21.8,8.2
"Ty Issac",RB,-,-,-,-,-,-,-,-,-,6.2
"Ty Johnson",RB,13,107.1,34.5,123,4.45,-,120.2,2016,19.0,7.0
"Ty Montgomery",RB,16,100.8,40.5,121,4.55,11.18,129.4,2013,20.6,9.2
"Tyler Ervin",RB,17,101.5,39.0,130,4.41,11.37,131.3,2014,20.9,5.4
"Tyler Gaffney",RB,15,108.3,36.5,116,4.49,10.96,120.1,2013,22.4,5.2
"Tyler Varga",RB,23,91.0,38.5,117,4.70,11.58,124.0,2012,19.0,6.1
"Vick Ballard",RB,23,93.7,33.0,115,4.65,11.22,113.6,2010,20.1,5.7
"Warren Wand",RB,14,74.2,37.0,120,4.70,12.14,122.9,2016,19.9,5.0
"Wayne Gallman",RB,21,96.0,29.5,120,4.60,11.45,110.2,2015,20.9,5.1
"Wendell Smallwood",RB,14,104.2,33.5,120,4.47,11.11,117.0,2015,21.6,6.4
"Wes Hills",RB,-,90.2,-,-,4.64,-,-,2014,19.3,7.7
"Wesley Fields",RB,19,83.5,35.0,120,4.69,11.66,119.5,2016,-,5.3
"William Stanback",RB,23,104.1,34.0,122,4.60,11.49,118.8,2014,20.2,6.3
"Xavier Turner",RB,26,103.6,33.5,117,4.57,11.49,115.5,2017,20.7,6.4
"Zac Brooks",RB,18,97.5,36.0,129,4.50,11.47,125.7,-,-,4.6
"Zac Stacy",RB,27,104.5,33.0,122,4.55,10.87,117.1,2009,18.4,5.7
"Zach Bauman",RB,13,93.3,34.0,108,4.55,11.04,111.8,2010,18.1,5.4
"Zach Laskey",RB,19,102.7,35.0,124,4.64,11.11,121.5,2014,22.2,5.0
"Zach Line",RB,26,89.6,33.0,117,4.77,11.52,114.6,2010,20.4,5.2
"Zach Zenner",RB,25,99.6,41.0,121,4.60,11.22,130.2,2012,21.0,6.4
"Zurlon Tipton",RB,17,87.2,32.0,119,4.75,11.37,113.9,2012,22.4,5.9
