Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
IND,1,32.2%,3,2,30.6%,1,67.5%,7,6.1%,1,33.6%,1,69.8%,9,6.2%,5,5.3%,19,1.6%
KC,2,31.1%,1,1,33.3%,4,45.4%,1,23.2%,2,29.1%,4,43.2%,1,21.4%,9,5.8%,11,-2.0%
NE,3,24.5%,14,3,22.8%,3,46.3%,3,14.0%,5,19.3%,6,38.8%,3,10.8%,7,5.4%,6,-4.2%
NYJ,4,21.1%,8,8,13.6%,8,34.0%,2,17.2%,6,19.1%,10,28.2%,2,18.6%,26,10.2%,3,-6.4%
SD,5,17.3%,12,6,16.4%,2,47.6%,11,4.4%,3,20.9%,2,52.2%,8,7.5%,10,6.7%,26,2.7%
MIN,6,17.0%,6,7,15.0%,7,37.6%,8,5.0%,7,18.7%,5,39.9%,10,5.7%,8,5.6%,25,2.6%
GB,7,17.0%,7,5,16.8%,5,40.0%,18,-1.9%,4,19.7%,3,44.0%,15,-0.7%,21,8.9%,24,2.6%
PIT,8,16.9%,19,4,19.1%,6,38.1%,4,11.0%,10,13.7%,8,32.1%,5,9.4%,6,5.4%,5,-4.7%
PHI,9,15.1%,4,11,7.9%,10,31.3%,12,3.7%,8,15.2%,9,32.1%,13,2.7%,30,14.1%,15,0.4%
DEN,10,14.2%,9,9,13.5%,9,33.7%,13,3.5%,9,14.5%,7,34.9%,12,2.8%,11,7.0%,23,2.5%
CIN,11,3.7%,10,10,8.5%,12,16.3%,9,4.9%,17,-4.5%,17,7.7%,19,-3.4%,18,8.4%,2,-7.0%
SEA,12,3.0%,5,12,5.5%,13,11.8%,14,2.0%,11,7.5%,12,15.4%,7,7.8%,15,7.6%,21,1.9%
CAR,13,-0.3%,18,13,2.5%,11,19.7%,26,-10.1%,12,4.3%,11,26.7%,25,-8.4%,2,4.0%,29,3.4%
OAK,14,-0.8%,24,15,-1.4%,16,9.6%,17,-0.5%,19,-5.1%,20,3.5%,18,-2.3%,23,9.1%,10,-2.5%
BAL,15,-2.1%,27,14,-1.2%,22,-2.3%,10,4.5%,18,-4.8%,24,-6.7%,11,3.4%,4,4.5%,7,-3.9%
HOU,16,-2.1%,28,16,-1.5%,17,6.9%,15,0.8%,13,-2.1%,13,9.5%,17,-1.8%,17,7.9%,31,3.8%
TEN,17,-3.5%,2,19,-3.3%,19,6.3%,20,-4.1%,14,-2.2%,14,9.2%,22,-5.4%,22,9.0%,18,1.5%
JAX,18,-3.7%,15,20,-5.5%,14,10.0%,22,-5.8%,16,-3.9%,15,9.0%,21,-5.0%,13,7.5%,17,1.5%
STL,19,-3.9%,20,23,-11.5%,20,6.1%,16,0.7%,15,-3.2%,18,6.5%,14,1.9%,27,10.5%,14,0.0%
DAL,20,-4.7%,22,21,-6.8%,15,10.0%,23,-6.1%,20,-5.7%,16,8.6%,23,-6.9%,12,7.3%,13,-1.1%
BUF,21,-5.5%,29,18,-3.0%,21,1.8%,19,-2.7%,21,-6.7%,21,1.6%,20,-4.8%,24,9.6%,9,-2.6%
TB,22,-7.3%,16,17,-1.6%,18,6.7%,28,-11.7%,26,-9.6%,19,4.8%,29,-14.6%,25,10.1%,20,1.8%
ATL,23,-10.3%,25,24,-12.0%,30,-21.4%,5,9.4%,22,-7.7%,30,-17.6%,4,10.7%,32,19.0%,27,3.0%
DET,24,-10.4%,32,25,-12.0%,24,-6.0%,21,-4.3%,23,-8.6%,23,-4.7%,16,-1.4%,16,7.9%,30,3.8%
NYG,25,-11.2%,26,27,-14.9%,27,-12.4%,6,7.4%,24,-8.8%,26,-9.2%,6,9.1%,29,12.6%,12,-1.4%
NO,26,-12.8%,13,22,-9.7%,25,-6.3%,24,-6.5%,25,-9.5%,22,0.4%,24,-7.9%,1,2.9%,28,3.0%
CLE,27,-14.5%,23,28,-16.4%,23,-3.6%,27,-11.3%,29,-23.0%,29,-15.6%,31,-16.9%,31,17.2%,1,-8.6%
WAS,28,-18.4%,21,26,-12.7%,28,-12.4%,29,-12.5%,27,-15.5%,25,-7.1%,27,-11.9%,14,7.5%,22,2.3%
SF,29,-22.0%,11,31,-24.7%,26,-11.6%,32,-24.9%,30,-26.1%,28,-15.2%,32,-29.9%,20,8.7%,8,-3.4%
ARI,30,-23.6%,31,30,-24.4%,29,-19.8%,30,-15.8%,28,-18.1%,27,-11.7%,28,-13.0%,3,4.0%,16,1.0%
MIA,31,-29.9%,17,29,-22.8%,31,-29.0%,31,-15.9%,31,-32.3%,31,-33.0%,30,-16.3%,19,8.7%,4,-5.4%
CHI,32,-36.7%,30,32,-44.2%,32,-49.1%,25,-9.6%,32,-35.8%,32,-47.0%,26,-9.9%,28,12.0%,32,5.6%
