Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
STL,1,27.0%,4,2,22.6%,5,33.3%,1,36.5%,1,27.8%,5,34.1%,1,37.2%,30,14.7%,27,2.7%
IND,2,26.7%,5,1,25.9%,1,48.4%,3,15.5%,3,24.1%,1,47.1%,5,11.2%,2,3.3%,10,-2.1%
DEN,3,20.2%,14,6,16.4%,6,33.1%,5,12.8%,2,24.7%,4,39.1%,3,15.7%,6,4.8%,29,4.4%
SF,4,18.8%,16,4,21.2%,2,38.6%,9,5.6%,4,21.9%,2,40.3%,6,10.8%,15,8.3%,28,3.0%
MIN,5,18.5%,8,3,21.8%,4,34.2%,4,15.4%,6,17.9%,7,29.2%,2,20.9%,9,6.0%,15,-1.1%
OAK,6,17.4%,2,5,19.0%,3,37.3%,8,6.4%,5,18.7%,3,40.1%,8,6.3%,19,9.4%,26,2.5%
KC,7,13.3%,6,9,10.2%,7,32.7%,15,1.0%,8,12.2%,6,33.5%,20,-2.8%,22,9.8%,24,1.7%
NYG,8,9.1%,21,10,6.7%,8,27.2%,21,-2.7%,7,12.2%,8,27.7%,14,3.1%,10,6.2%,21,0.5%
PIT,9,8.9%,19,8,10.7%,20,-0.5%,2,24.9%,11,4.1%,19,-0.3%,4,15.6%,7,5.5%,2,-5.4%
JAX,10,6.6%,9,7,14.1%,9,20.0%,12,4.2%,9,5.5%,9,17.8%,12,4.2%,14,7.9%,12,-1.9%
TB,11,5.0%,24,12,2.9%,14,12.6%,10,4.8%,10,4.3%,14,9.6%,9,6.3%,17,8.8%,19,0.1%
WAS,12,4.0%,1,19,-5.3%,15,11.7%,11,4.2%,16,1.5%,15,8.5%,15,2.3%,28,11.8%,6,-2.4%
GB,13,3.7%,11,11,6.4%,13,13.3%,17,0.4%,15,1.7%,16,7.2%,13,4.0%,5,4.6%,17,-0.3%
BUF,14,3.4%,7,15,1.1%,10,17.1%,24,-4.4%,14,2.2%,11,14.4%,21,-4.0%,27,11.6%,9,-2.1%
TEN,15,1.1%,3,14,1.1%,12,13.5%,19,-1.5%,17,-0.4%,12,14.1%,22,-4.9%,8,5.6%,8,-2.1%
PHI,16,0.9%,29,13,1.1%,11,13.6%,25,-11.0%,13,2.8%,10,15.7%,25,-9.6%,12,6.7%,23,1.2%
NYJ,17,-0.1%,13,18,-3.9%,18,6.4%,23,-4.4%,22,-7.9%,20,-3.7%,24,-9.1%,13,7.4%,1,-5.9%
NO,18,-1.1%,31,17,-0.6%,16,9.6%,20,-1.6%,12,3.7%,13,13.5%,11,4.5%,1,3.3%,31,5.2%
MIA,19,-1.3%,20,16,0.6%,19,6.1%,13,3.4%,19,-4.1%,17,5.8%,18,-1.7%,18,9.0%,11,-2.0%
NE,20,-4.4%,22,22,-8.2%,17,9.1%,27,-13.7%,20,-6.6%,18,2.9%,26,-10.7%,11,6.3%,5,-2.9%
SEA,21,-5.4%,17,20,-5.4%,23,-7.2%,7,7.4%,21,-7.2%,23,-9.1%,10,5.6%,23,10.0%,14,-1.4%
BAL,22,-8.1%,27,23,-11.7%,24,-14.1%,6,8.8%,18,-4.0%,22,-7.7%,7,10.8%,20,9.6%,7,-2.3%
CHI,23,-9.0%,18,21,-7.3%,21,-5.6%,22,-2.8%,23,-12.0%,24,-9.4%,23,-5.1%,25,10.3%,13,-1.7%
DAL,24,-10.8%,12,24,-12.5%,25,-15.5%,14,2.4%,24,-12.5%,25,-16.1%,16,-0.2%,31,15.5%,18,-0.2%
DET,25,-16.4%,15,26,-15.8%,28,-20.5%,18,-1.3%,26,-16.8%,27,-20.1%,19,-2.6%,4,4.1%,16,-0.6%
CAR,26,-17.9%,10,27,-23.1%,22,-6.4%,29,-22.5%,25,-15.5%,21,-5.1%,27,-17.8%,16,8.3%,30,5.1%
ARI,27,-20.0%,30,29,-28.4%,26,-16.3%,28,-17.5%,27,-21.6%,26,-18.5%,28,-18.3%,24,10.1%,22,0.5%
CIN,28,-20.5%,23,25,-15.7%,31,-37.4%,16,0.8%,28,-24.2%,31,-43.6%,17,-1.0%,26,10.4%,3,-5.2%
SD,29,-26.4%,28,28,-26.1%,27,-19.7%,30,-23.5%,31,-30.9%,30,-27.8%,31,-22.7%,3,3.3%,20,0.4%
CLE,30,-29.4%,26,31,-35.8%,30,-34.4%,26,-12.2%,30,-29.6%,29,-27.5%,30,-21.5%,29,13.8%,4,-4.7%
ATL,31,-30.2%,25,30,-32.2%,29,-25.7%,31,-24.6%,29,-29.0%,28,-26.9%,29,-20.2%,21,9.7%,25,2.0%
