Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
KC,1,35.4%,5,1,33.7%,1,46.7%,1,29.5%,1,35.5%,1,46.7%,1,29.7%,19,7.9%,23,1.5%
OAK,2,22.8%,3,3,22.1%,3,35.4%,3,22.0%,2,26.5%,3,39.6%,2,25.2%,20,8.0%,31,3.6%
SF,3,19.0%,2,4,15.5%,4,29.6%,5,17.9%,3,19.0%,4,30.9%,5,16.6%,5,4.2%,24,1.7%
NYJ,4,18.4%,10,2,31.3%,2,42.5%,18,-1.6%,4,18.1%,2,41.0%,17,-0.6%,32,15.4%,22,0.9%
DEN,5,17.0%,15,6,13.7%,7,22.5%,2,22.0%,5,17.5%,8,23.2%,4,22.5%,1,3.3%,29,2.6%
TEN,6,9.0%,7,7,11.7%,5,27.9%,13,3.4%,6,8.8%,6,25.0%,10,5.9%,3,3.5%,14,-0.4%
SEA,7,7.8%,14,5,15.5%,8,21.9%,12,3.4%,9,7.3%,7,23.2%,15,0.8%,31,13.0%,26,1.8%
JAX,8,7.6%,19,13,3.7%,13,15.4%,7,9.9%,7,8.5%,10,18.1%,8,8.9%,10,5.7%,21,0.6%
NE,9,7.0%,11,16,0.6%,10,18.3%,11,3.6%,8,8.1%,9,20.5%,11,3.2%,8,5.4%,25,1.8%
PHI,10,6.9%,12,11,4.7%,12,15.4%,10,6.0%,11,6.2%,15,12.9%,9,7.4%,13,6.6%,13,-0.6%
MIA,11,6.9%,20,12,4.3%,19,6.6%,6,13.2%,10,7.1%,17,8.3%,6,12.2%,16,7.1%,30,3.3%
PIT,12,6.7%,4,8,8.8%,9,18.5%,15,1.6%,13,5.0%,14,14.3%,12,2.5%,11,6.0%,7,-2.8%
NYG,13,4.2%,16,9,8.2%,6,23.2%,22,-4.1%,14,4.9%,5,28.9%,23,-8.7%,9,5.4%,17,0.2%
GB,14,3.1%,6,18,-1.2%,14,12.9%,16,0.3%,15,4.4%,12,15.4%,16,0.4%,15,7.0%,16,-0.2%
ATL,15,1.8%,25,15,0.7%,16,11.6%,14,3.2%,19,-0.8%,19,7.5%,13,2.0%,14,6.8%,2,-4.2%
SD,16,1.5%,17,17,0.1%,20,4.9%,8,7.5%,12,5.1%,18,8.0%,7,11.7%,18,7.8%,32,3.7%
MIN,17,1.0%,22,10,6.6%,22,1.5%,4,18.6%,17,2.3%,21,0.8%,3,22.9%,2,3.5%,9,-1.9%
BUF,18,0.8%,21,20,-3.2%,15,12.0%,21,-3.6%,16,2.9%,13,14.4%,19,-1.7%,22,8.4%,28,2.1%
IND,19,0.4%,8,19,-2.1%,11,15.6%,24,-7.3%,18,-0.3%,11,16.0%,24,-9.4%,12,6.2%,12,-0.8%
TB,20,-3.5%,13,21,-4.2%,17,11.3%,27,-12.3%,20,-3.9%,16,11.6%,27,-13.7%,17,7.8%,5,-2.9%
NO,21,-4.6%,23,25,-12.4%,21,2.8%,20,-2.7%,24,-9.9%,24,-5.1%,21,-4.7%,26,9.7%,1,-5.5%
CIN,22,-5.4%,26,14,1.4%,25,-2.8%,19,-1.8%,22,-6.0%,23,-4.2%,18,-1.5%,30,11.6%,3,-4.1%
BAL,23,-6.0%,24,22,-4.9%,23,1.3%,17,-0.8%,25,-10.7%,25,-5.7%,20,-3.0%,7,4.8%,6,-2.9%
CLE,24,-6.4%,30,24,-9.7%,18,7.1%,26,-8.1%,21,-5.2%,20,6.9%,22,-5.0%,4,4.1%,11,-0.8%
WAS,25,-7.2%,27,23,-4.9%,27,-7.5%,9,6.1%,23,-8.6%,26,-6.1%,14,1.5%,25,9.5%,15,-0.2%
STL,26,-10.4%,1,26,-15.4%,24,-1.3%,25,-7.3%,26,-13.0%,22,-3.2%,26,-11.3%,23,9.3%,27,1.9%
ARI,27,-12.3%,9,27,-15.5%,28,-13.2%,23,-4.7%,27,-16.0%,28,-16.1%,25,-9.4%,21,8.1%,18,0.2%
CHI,28,-14.0%,18,28,-17.4%,26,-7.0%,28,-13.7%,28,-18.6%,27,-15.0%,28,-13.9%,24,9.4%,8,-2.6%
DAL,29,-24.9%,29,30,-31.4%,30,-24.7%,29,-14.4%,30,-27.0%,32,-28.1%,29,-15.0%,29,11.6%,19,0.3%
CAR,30,-24.9%,31,31,-32.3%,29,-18.8%,31,-19.5%,31,-27.4%,29,-21.7%,31,-21.7%,28,10.7%,4,-3.0%
DET,31,-25.3%,28,29,-26.6%,31,-24.9%,30,-17.7%,29,-25.3%,30,-24.1%,30,-19.3%,6,4.7%,10,-1.8%
HOU,32,-43.3%,0,32,-40.1%,32,-33.7%,32,-31.8%,32,-40.4%,31,-27.6%,32,-32.2%,27,9.7%,20,0.4%
