season,pos,rows,draft_capital_coverage,complete_team_environment,median_team_environment_slots
2008,QB,33,0.8181818181818182,0.9696969696969697,7.0
2008,RB,77,0.7792207792207793,0.8961038961038961,7.0
2008,TE,42,0.9285714285714286,0.9523809523809523,7.0
2008,WR,117,0.8547008547008547,0.9230769230769231,7.0
2009,QB,37,0.8648648648648649,0.8648648648648649,7.0
2009,RB,82,0.8292682926829268,0.9024390243902439,7.0
2009,TE,46,0.9347826086956522,0.9565217391304348,7.0
2009,WR,113,0.8584070796460177,0.9380530973451328,7.0
2010,QB,35,0.8857142857142857,0.9142857142857143,7.0
2010,RB,78,0.8333333333333334,0.9102564102564102,7.0
2010,TE,46,0.8913043478260869,0.8695652173913043,7.0
2010,WR,109,0.8715596330275229,0.8990825688073395,7.0
2011,QB,39,0.9487179487179487,1.0,7.0
2011,RB,86,0.8023255813953488,0.9651162790697675,7.0
2011,TE,48,0.9166666666666666,0.9791666666666666,7.0
2011,WR,120,0.8416666666666667,0.9666666666666667,7.0
2012,QB,41,0.9512195121951219,0.926829268292683,7.0
2012,RB,86,0.8372093023255814,0.9534883720930233,7.0
2012,TE,43,0.9302325581395349,0.9534883720930233,7.0
2012,WR,120,0.8416666666666667,0.9416666666666667,7.0
2013,QB,41,0.9024390243902439,0.8536585365853658,7.0
2013,RB,83,0.8072289156626506,0.8674698795180723,7.0
2013,TE,46,0.8913043478260869,0.9130434782608695,7.0
2013,WR,127,0.8346456692913385,0.8740157480314961,7.0
2014,QB,40,0.9,0.95,7.0
2014,RB,88,0.7386363636363636,0.9772727272727273,7.0
2014,TE,44,0.8863636363636364,0.9545454545454546,7.0
2014,WR,125,0.824,0.928,7.0
2015,QB,43,0.8837209302325582,1.0,7.0
2015,RB,93,0.7204301075268817,1.0,7.0
2015,TE,47,0.8723404255319149,1.0,7.0
2015,WR,126,0.8095238095238095,1.0,7.0
2016,QB,38,0.8947368421052632,0.9736842105263158,7.0
2016,RB,86,0.7790697674418605,0.9767441860465116,7.0
2016,TE,47,0.8297872340425532,1.0,7.0
2016,WR,130,0.7846153846153846,0.9846153846153847,7.0
2017,QB,38,0.9210526315789473,0.9473684210526315,7.0
2017,RB,91,0.7582417582417582,0.9340659340659341,7.0
2017,TE,46,0.8043478260869565,0.9782608695652174,7.0
2017,WR,133,0.7819548872180451,0.9624060150375939,7.0
2018,QB,39,0.9743589743589743,0.9743589743589743,7.0
2018,RB,88,0.8295454545454546,0.9318181818181818,7.0
2018,TE,47,0.8297872340425532,0.9574468085106383,7.0
2018,WR,120,0.8,0.9416666666666667,7.0
2019,QB,38,0.9473684210526315,0.9210526315789473,7.0
2019,RB,90,0.8,0.9,7.0
2019,TE,45,0.8222222222222222,0.9555555555555556,7.0
2019,WR,119,0.7983193277310925,0.9411764705882353,7.0
2020,QB,38,0.9473684210526315,0.9473684210526315,7.0
2020,RB,91,0.7802197802197802,0.9560439560439561,7.0
2020,TE,46,0.8478260869565217,0.9565217391304348,7.0
2020,WR,118,0.8220338983050848,0.9576271186440678,7.0
2021,QB,38,0.9473684210526315,0.9473684210526315,7.0
2021,RB,84,0.8214285714285714,0.9523809523809523,7.0
2021,TE,48,0.7708333333333334,0.9583333333333334,7.0
2021,WR,122,0.8032786885245902,0.9672131147540983,7.0
2022,QB,41,0.926829268292683,1.0,7.0
2022,RB,88,0.8068181818181818,1.0,7.0
2022,TE,48,0.8125,1.0,7.0
2022,WR,122,0.8852459016393442,1.0,7.0
2023,QB,41,0.9512195121951219,1.0,7.0
2023,RB,86,0.8255813953488372,1.0,7.0
2023,TE,48,0.875,1.0,7.0
2023,WR,134,0.8582089552238806,1.0,7.0
2024,QB,42,1.0,0.9523809523809523,7.0
2024,RB,87,0.8275862068965517,0.9885057471264368,7.0
2024,TE,47,0.9148936170212766,0.9574468085106383,7.0
2024,WR,128,0.8828125,0.984375,7.0
2025,QB,44,1.0,1.0,7.0
2025,RB,85,0.8588235294117647,1.0,7.0
2025,TE,49,0.9387755102040817,1.0,7.0
2025,WR,127,0.905511811023622,1.0,7.0
