panel_size,panel_id,seeds,gain,se,lcb80
1,0,131091672,-2.614834109942118,12.919162477233376,-13.48787557076018
1,1,201017185,-11.438778089440387,12.120237714972903,-21.639427506312842
1,2,269504634,-29.92001136144002,12.80423167192883,-40.69632461612214
1,3,380545036,-5.4900470733642575,12.779165067296471,-16.245263741334206
1,4,715424688,-25.707582352009226,12.744707678534317,-36.43379894994347
1,5,930607203,-23.655693372090656,11.003621011947073,-32.91657446193439
1,6,1257527979,-5.02460374223425,11.784910931680763,-14.943035018102336
1,7,1416456620,-33.19636017343272,11.885890296950892,-43.19977782726487
1,8,1579642955,0.01584588720443401,11.435893077983987,-9.608844552096402
1,9,2111099095,28.35466416676839,12.835768752835506,17.551808635150305
1,10,2127541646,-4.495954004923503,9.865302431924794,-12.79880200724992
1,11,2540684655,-13.568198021422042,12.828325235649054,-24.364788930923545
1,12,3626839450,12.302716533342997,11.248447075875069,2.8357846295653815
1,13,3864801349,-10.525911500718859,12.323299715283731,-20.897462208784695
1,14,3962081362,30.610508695561837,10.006746408812328,22.188618438925875
1,15,4069557385,-48.04554126573645,12.303071825367141,-58.40006775213811
2,0,"131091672,201017185",-7.026806099691252,8.857269914886393,-14.4812725315462
2,1,"131091672,269504634",-16.26742273569107,9.094683994257032,-23.921701897893513
2,2,"131091672,380545036",-4.052440591653188,9.085865656754523,-11.699298053768707
2,3,"131091672,715424688",-14.161208230975673,9.073757944264967,-21.797875585169983
2,4,"131091672,930607203",-13.135263741016388,8.485052069488408,-20.276463730669633
2,5,"131091672,1257527979",-3.819718926088184,8.743410158239225,-11.17835856909943
2,6,"131091672,1416456620",-17.90559714168742,8.777515982103168,-25.29294097025106
2,7,"131091672,1579642955",-1.299494111368842,8.626766624933076,-8.559964079990664
2,8,"131091672,2111099095",12.869915028413136,9.105790995150054,5.206287978417812
2,9,"131091672,2127541646",-3.5553940574328102,8.127560384065074,-10.395721453808008
2,10,"131091672,2540684655",-8.09151606568208,9.103168232334625,-15.752935742801313
2,11,"131091672,3626839450",4.8439412117004395,8.564933168623051,-2.3644884071456627
2,12,"131091672,3864801349",-6.570372805330488,8.927044233477659,-14.083562785269926
2,13,"131091672,3962081362",13.997837292809859,8.17067519859028,7.121223553048691
2,14,"131091672,4069557385",-25.330187687839285,8.920066359804975,-32.837504941130604
2,15,"201017185,269504634",-20.679394725440204,8.81544824407524,-28.098663151116988
2,16,"201017185,380545036",-8.464412581402321,8.806350295165728,-15.8760239800949
2,17,"201017185,715424688",-18.573180220724808,8.793857743884978,-25.97427762299801
2,18,"201017185,930607203",-17.54723573076552,8.185044863072143,-24.435943285273943
2,19,"201017185,1257527979",-8.23169091583732,8.452577830684262,-15.345559896568876
2,20,"201017185,1416456620",-22.317569131436557,8.487852355257527,-29.461125901053162
2,21,"201017185,1579642955",-5.711466101117977,8.331863728460362,-12.723739530226208
2,22,"201017185,2111099095",8.457943038664002,8.826906617605625,1.0290310025218359
2,23,"201017185,2127541646",-7.967366047181945,7.813839554610666,-14.543659332074204
2,24,"201017185,2540684655",-12.503488055431214,8.824200964096436,-19.930122956129356
2,25,"201017185,3626839450",0.43196922195130494,8.267825044807944,-6.526407891224992
2,26,"201017185,3864801349",-10.982344795079623,8.64239373871851,-18.255966874482727
2,27,"201017185,3962081362",9.585865303060725,7.8586757147392525,2.971836953772371
2,28,"201017185,4069557385",-29.74215967758842,8.635185849296967,-37.009715444205106
2,29,"269504634,380545036",-17.70502921740214,9.04510100172513,-25.317578280265643
2,30,"269504634,715424688",-27.813796856724622,9.032938648630868,-35.41610982497379
2,31,"269504634,930607203",-26.78785236676534,8.44138649871851,-33.892302484882556
2,32,"269504634,1257527979",-17.472307551837137,8.70104123619803,-24.795288610414918
2,33,"269504634,1416456620",-31.55818576743637,8.735312485245974,-38.91001023691397
2,34,"269504634,1579642955",-14.952082737117793,8.583821980905526,-22.176409581457797
